Lattice parameter (Å) for Au,Potential energy (eV) for Au,Lattice parameter linspace (Å) for Au,Fitted energy (eV) curve for Au,Lattice parameter (Å) for min E_pot for  Au,Minimum E_pot (eV) for Au
,,4.1770999999999985,-3.146187136509539,,
,,4.177199999999999,-3.146187016907305,,
,,4.177299999999999,-3.1461868112012468,,
,,4.177399999999999,-3.1461865193914065,,
,,4.177499999999998,-3.14618614147777,,
,,4.177599999999999,-3.1461856774603234,,
,,4.177699999999999,-3.146185127339095,,
,,4.177799999999999,-3.146184491114056,,
,,4.177899999999998,-3.146183768785221,,
,,4.177999999999999,-3.1461829603525757,,
,,4.178099999999999,-3.1461820658161486,,
,,4.178199999999999,-3.146181085175911,,
,,4.178299999999998,-3.1461800184318776,,
,,4.178399999999999,-3.1461788655840337,,
,,4.178499999999999,-3.1461776266323938,,
,,4.1785999999999985,-3.146176301576972,,
,,4.178699999999998,-3.14617489041774,,
,,4.178799999999999,-3.1461733931547116,,
,,4.178899999999999,-3.146171809787873,,
,,4.1789999999999985,-3.1461701403172526,,
,,4.179099999999998,-3.146168384742822,,
,,4.179199999999999,-3.146166543064595,,
,,4.179299999999999,-3.146164615282572,,
,,4.1793999999999984,-3.146162601396739,,
,,4.179499999999999,-3.1461605014071097,,
,,4.179599999999999,-3.14615831531367,,
,,4.179699999999999,-3.1461560431164486,,
,,4.179799999999998,-3.146153684815431,,
,,4.179899999999999,-3.146151240410603,,
,,4.179999999999999,-3.146148709901979,,
,,4.180099999999999,-3.146146093289559,,
,,4.180199999999998,-3.146143390573343,,
,,4.180299999999999,-3.1461406017533307,,
,,4.180399999999999,-3.146137726829508,,
,,4.1804999999999986,-3.1461347658018894,,
,,4.180599999999998,-3.1461317186704747,,
,,4.180699999999999,-3.1461285854352354,,
,,4.180799999999999,-3.1461253660962285,,
,,4.1808999999999985,-3.1461220606534113,,
,,4.180999999999998,-3.146118669106798,,
,,4.181099999999999,-3.1461151914563743,,
,,4.181199999999999,-3.146111627702169,,
,,4.1812999999999985,-3.146107977844153,,
,,4.181399999999998,-3.146104241882341,,
,,4.181499999999999,-3.146100419816733,,
,,4.181599999999999,-3.1460965116473147,,
,,4.181699999999998,-3.1460925173741145,,
,,4.181799999999998,-3.146088436997104,,
,,4.181899999999999,-3.1460842705162833,,
,,4.181999999999999,-3.1460800179316664,,
,,4.182099999999998,-3.1460756792432676,,
,,4.182199999999999,-3.1460712544510585,,
,,4.182299999999999,-3.1460667435550533,,
,,4.182399999999999,-3.146062146555252,,
,,4.182499999999998,-3.1460574634516405,,
,,4.182599999999999,-3.146052694244247,,
,,4.182699999999999,-3.1460478389330433,,
,,4.1827999999999985,-3.1460428975180292,,
,,4.182899999999998,-3.1460378699992333,,
,,4.182999999999999,-3.146032756376613,,
,,4.183099999999999,-3.1460275566502247,,
,,4.1831999999999985,-3.146022270820012,,
,,4.183299999999998,-3.1460168988860175,,
,,4.183399999999999,-3.146011440848227,,
,,4.183499999999999,-3.146005896706626,,
,,4.183599999999998,-3.146000266461229,,
,,4.183699999999998,-3.145994550112036,,
,,4.183799999999999,-3.1459887476590325,,
,,4.183899999999999,-3.145982859102247,,
,,4.183999999999998,-3.1459768844416516,,
,,4.184099999999998,-3.14597082367726,,
,,4.184199999999999,-3.145964676809058,,
,,4.184299999999999,-3.14595844383706,,
,,4.184399999999998,-3.1459521247612656,,
,,4.184499999999998,-3.1459457195816753,,
,,4.184599999999999,-3.145939228298289,,
,,4.1846999999999985,-3.1459326509111065,,
,,4.184799999999998,-3.1459259874201138,,
,,4.184899999999999,-3.145919237825325,,
,,4.184999999999999,-3.14591240212674,,
,,4.1850999999999985,-3.145905480324359,,
,,4.185199999999998,-3.1458984724181676,,
,,4.185299999999999,-3.145891378408166,,
,,4.185399999999999,-3.1458841982943824,,
,,4.185499999999998,-3.1458769320768027,,
,,4.185599999999998,-3.145869579755413,,
,,4.185699999999999,-3.145862141330241,,
,,4.185799999999999,-3.145854616801259,,
,,4.185899999999998,-3.1458470061684807,,
,,4.185999999999998,-3.145839309431892,,
,,4.186099999999999,-3.1458315265915218,,
,,4.186199999999999,-3.145823657647341,,
,,4.186299999999998,-3.1458157025993643,,
,,4.186399999999998,-3.1458076614475914,,
,,4.186499999999999,-3.145799534191994,,
,,4.1865999999999985,-3.1457913208326147,,
,,4.186699999999998,-3.1457830213694393,,
,,4.186799999999998,-3.145774635802468,,
,,4.186899999999999,-3.1457661641317003,,
,,4.1869999999999985,-3.1457576063571224,,
,,4.187099999999998,-3.1457489624787485,,
,,4.187199999999999,-3.1457402324965784,,
,,4.187299999999999,-3.1457314164106123,,
,,4.1873999999999985,-3.14572251422085,,
,,4.187499999999998,-3.1457135259272775,,
,,4.187599999999999,-3.1457044515298946,,
,,4.187699999999999,-3.14569529102873,,
,,4.187799999999998,-3.145686044423755,,
,,4.187899999999998,-3.145676711714998,,
,,4.187999999999999,-3.1456672929024307,,
,,4.188099999999999,-3.1456577879860674,,
,,4.188199999999998,-3.145648196965894,,
,,4.188299999999998,-3.1456385198419383,,
,,4.188399999999999,-3.1456287566141725,,
,,4.188499999999999,-3.1456189072826106,,
,,4.188599999999998,-3.1456089718472526,,
,,4.188699999999998,-3.1455989503080843,,
,,4.188799999999999,-3.14558884266512,,
,,4.1888999999999985,-3.1455786489183595,,
,,4.188999999999998,-3.1455683690677887,,
,,4.189099999999998,-3.145558003113436,,
,,4.189199999999999,-3.1455475510552873,,
,,4.1892999999999985,-3.145537012893328,,
,,4.189399999999998,-3.145526388627573,,
,,4.189499999999999,-3.1455156782580076,,
,,4.189599999999999,-3.1455048817846603,,
,,4.189699999999998,-3.1454939992075026,,
,,4.189799999999998,-3.145483030526549,,
,,4.189899999999999,-3.145471975741785,,
,,4.189999999999999,-3.145460834853239,,
,,4.190099999999998,-3.1454496078608827,,
,,4.190199999999998,-3.1454382947647304,,
,,4.190299999999999,-3.145426895564782,,
,,4.190399999999999,-3.1454154102610374,,
,,4.190499999999998,-3.1454038388534826,,
,,4.190599999999998,-3.145392181342146,,
,,4.190699999999999,-3.145380437726999,,
,,4.1907999999999985,-3.145368608008056,,
,,4.190899999999998,-3.1453566921853024,,
,,4.190999999999998,-3.145344690258753,,
,,4.191099999999999,-3.1453326022284074,,
,,4.1911999999999985,-3.1453204280942515,,
,,4.191299999999998,-3.1453081678563137,,
,,4.191399999999998,-3.14529582151458,,
,,4.191499999999999,-3.1452833890690357,,
,,4.191599999999998,-3.1452708705196954,,
,,4.191699999999998,-3.145258265866559,,
,,4.191799999999998,-3.1452455751096124,,
,,4.191899999999999,-3.145232798248884,,
,,4.191999999999998,-3.145219935284345,,
,,4.192099999999998,-3.14520698621601,,
,,4.192199999999999,-3.1451939510438507,,
,,4.192299999999999,-3.1451808297679236,,
,,4.192399999999998,-3.145167622388186,,
,,4.192499999999998,-3.1451543289046526,,
,,4.192599999999999,-3.145140949317323,,
,,4.1926999999999985,-3.145127483626183,,
,,4.192799999999998,-3.145113931831247,,
,,4.192899999999998,-3.145100293932515,,
,,4.192999999999999,-3.145086569929987,,
,,4.1930999999999985,-3.1450727598236625,,
,,4.193199999999998,-3.145058863613528,,
,,4.193299999999998,-3.1450448812995973,,
,,4.193399999999999,-3.1450308128818563,,
,,4.1934999999999985,-3.1450166583603334,,
,,4.193599999999998,-3.1450024177350144,,
,,4.193699999999998,-3.144988091005885,,
,,4.193799999999999,-3.14497367817296,,
,,4.193899999999998,-3.1449591792362384,,
,,4.193999999999998,-3.1449445941957066,,
,,4.194099999999998,-3.144929923051393,,
,,4.194199999999999,-3.144915165803269,,
,,4.194299999999998,-3.144900322451349,,
,,4.194399999999998,-3.1448853929956186,,
,,4.194499999999998,-3.1448703774361064,,
,,4.1945999999999986,-3.1448552757727697,,
,,4.194699999999998,-3.144840088005651,,
,,4.194799999999998,-3.1448248141347364,,
,,4.194899999999999,-3.1448094541600256,,
,,4.1949999999999985,-3.1447940080815044,,
,,4.195099999999998,-3.1447784758991872,,
,,4.195199999999998,-3.144762857613074,,
,,4.195299999999999,-3.1447471532231646,,
,,4.1953999999999985,-3.144731362729445,,
,,4.195499999999998,-3.144715486131929,,
,,4.195599999999998,-3.144699523430617,,
,,4.195699999999999,-3.144683474625495,,
,,4.195799999999998,-3.1446673397165767,,
,,4.195899999999998,-3.1446511187038766,,
,,4.195999999999998,-3.144634811587366,,
,,4.196099999999999,-3.1446184183670596,,
,,4.196199999999998,-3.1446019390429427,,
,,4.196299999999998,-3.144585373615044,,
,,4.196399999999998,-3.144568722083335,,
,,4.196499999999999,-3.14455198444783,,
,,4.196599999999998,-3.1445351607085286,,
,,4.196699999999998,-3.144518250865417,,
,,4.196799999999998,-3.1445012549185094,,
,,4.1968999999999985,-3.1444841728677915,,
,,4.196999999999998,-3.1444670047132917,,
,,4.197099999999998,-3.1444497504549958,,
,,4.197199999999999,-3.1444324100928895,,
,,4.1972999999999985,-3.1444149836269872,,
,,4.197399999999998,-3.144397471057289,,
,,4.197499999999998,-3.1443798723837943,,
,,4.197599999999999,-3.1443621876065038,,
,,4.197699999999998,-3.144344416725403,,
,,4.197799999999998,-3.144326559740506,,
,,4.197899999999998,-3.144308616651813,,
,,4.197999999999999,-3.1442905874592952,,
,,4.198099999999998,-3.14427247216301,,
,,4.198199999999998,-3.1442542707629144,,
,,4.198299999999998,-3.1442359832590228,,
,,4.198399999999999,-3.144217609651321,,
,,4.198499999999998,-3.144199149939837,,
,,4.198599999999998,-3.144180604124543,,
,,4.198699999999998,-3.1441619722054526,,
,,4.1987999999999985,-3.1441432541825662,,
,,4.198899999999998,-3.1441244500558696,,
,,4.198999999999998,-3.144105559825391,,
,,4.199099999999998,-3.1440865834911023,,
,,4.1991999999999985,-3.144067521053003,,
,,4.199299999999998,-3.144048372511108,,
,,4.199399999999998,-3.144029137865431,,
,,4.199499999999999,-3.1440098171159434,,
,,4.1995999999999984,-3.14399041026266,,
,,4.199699999999998,-3.143970917305566,,
,,4.199799999999998,-3.1439513382446904,,
,,4.199899999999999,-3.1439316730800044,,
,,4.199999999999998,-3.1439119218115223,,
,,4.200099999999998,-3.143892084439244,,
,,4.200199999999998,-3.14387216096317,,
,,4.200299999999999,-3.143852151383271,,
,,4.200399999999998,-3.1438320556995905,,
,,4.200499999999998,-3.1438118739121137,,
,,4.200599999999998,-3.143791606020841,,
,,4.2006999999999985,-3.143771252025772,,
,,4.200799999999998,-3.1437508119268927,,
,,4.200899999999998,-3.1437302857242173,,
,,4.200999999999998,-3.143709673417746,,
,,4.2010999999999985,-3.143688975007464,,
,,4.201199999999998,-3.1436681904934005,,
,,4.201299999999998,-3.1436473198755266,,
,,4.201399999999998,-3.1436263631538566,,
,,4.2014999999999985,-3.143605320328362,,
,,4.201599999999998,-3.1435841913991,,
,,4.201699999999998,-3.1435629763660273,,
,,4.201799999999998,-3.1435416752291587,,
,,4.201899999999998,-3.143520287988494,,
,,4.201999999999998,-3.143498814644019,,
,,4.202099999999998,-3.143477255195762,,
,,4.202199999999999,-3.143455609643695,,
,,4.202299999999998,-3.1434338779878317,,
,,4.202399999999998,-3.143412060228158,,
,,4.202499999999998,-3.1433901563647026,,
,,4.202599999999999,-3.1433681663974227,,
,,4.202699999999998,-3.143346090326361,,
,,4.202799999999998,-3.143323928151503,,
,,4.202899999999998,-3.1433016798728346,,
,,4.2029999999999985,-3.1432793454903845,,
,,4.203099999999998,-3.143256925004124,,
,,4.203199999999998,-3.1432344184140533,,
,,4.203299999999998,-3.1432118257202006,,
,,4.2033999999999985,-3.1431891469225377,,
,,4.203499999999998,-3.143166382021093,,
,,4.203599999999998,-3.1431435310158378,,
,,4.203699999999998,-3.1431205939067723,,
,,4.203799999999998,-3.143097570693911,,
,,4.203899999999998,-3.143074461377253,,
,,4.203999999999998,-3.1430512659567995,,
,,4.204099999999998,-3.1430279844325497,,
,,4.204199999999998,-3.143004616804504,,
,,4.204299999999998,-3.1429811630726476,,
,,4.204399999999998,-3.1429576232369953,,
,,4.204499999999998,-3.142933997297547,,
,,4.204599999999998,-3.1429102852543025,,
,,4.204699999999998,-3.1428864871072477,,
,,4.204799999999998,-3.142862602856397,,
,,4.2048999999999985,-3.1428386325017357,,
,,4.204999999999998,-3.1428145760432926,,
,,4.205099999999998,-3.1427904334810535,,
,,4.205199999999998,-3.142766204815004,,
,,4.2052999999999985,-3.1427418900451585,,
,,4.205399999999998,-3.142717489171517,,
,,4.205499999999998,-3.142693002194079,,
,,4.205599999999998,-3.142668429112831,,
,,4.205699999999998,-3.142643769927787,,
,,4.205799999999998,-3.1426190246389467,,
,,4.205899999999998,-3.1425941932463104,,
,,4.205999999999998,-3.142569275749878,,
,,4.206099999999998,-3.142544272149621,,
,,4.206199999999998,-3.1425191824455823,,
,,4.206299999999998,-3.1424940066377474,,
,,4.206399999999998,-3.1424687447261164,,
,,4.206499999999998,-3.142443396710675,,
,,4.206599999999998,-3.1424179625914377,,
,,4.206699999999998,-3.142392442368404,,
,,4.206799999999998,-3.1423668360415746,,
,,4.206899999999998,-3.1423411436109348,,
,,4.206999999999998,-3.142315365076513,,
,,4.207099999999998,-3.142289500438281,,
,,4.2071999999999985,-3.1422635496962386,,
,,4.207299999999998,-3.1422375128504,,
,,4.207399999999998,-3.1422113899007797,,
,,4.207499999999998,-3.142185180847349,,
,,4.2075999999999985,-3.1421588856901224,,
,,4.207699999999998,-3.1421325044290853,,
,,4.207799999999998,-3.1421060370642664,,
,,4.207899999999998,-3.142079483595637,,
,,4.207999999999998,-3.142052844023212,,
,,4.208099999999998,-3.1420261183469904,,
,,4.208199999999998,-3.1419993065669587,,
,,4.208299999999998,-3.141972408683145,,
,,4.208399999999998,-3.141945424695507,,
,,4.208499999999998,-3.141918354604087,,
,,4.208599999999998,-3.1418911984088567,,
,,4.208699999999998,-3.1418639561098445,,
,,4.208799999999998,-3.141836627707022,,
,,4.208899999999998,-3.1418092132004034,,
,,4.208999999999998,-3.1417817125899887,,
,,4.209099999999998,-3.1417541258757637,,
,,4.209199999999998,-3.141726453057757,,
,,4.209299999999998,-3.1416986941359397,,
,,4.209399999999998,-3.1416708491103265,,
,,4.2094999999999985,-3.1416429179808887,,
,,4.209599999999998,-3.1416149007476832,,
,,4.209699999999998,-3.1415867974106675,,
,,4.209799999999998,-3.1415586079698556,,
,,4.209899999999998,-3.1415303324252477,,
,,4.209999999999998,-3.1415019707768295,,
,,4.210099999999998,-3.1414735230246293,,
,,4.210199999999998,-3.141444989168619,,
,,4.210299999999998,-3.1414163692088124,,
,,4.210399999999998,-3.1413876631451956,,
,,4.210499999999998,-3.141358870977797,,
,,4.210599999999998,-3.141329992706588,,
,,4.210699999999998,-3.1413010283315685,,
,,4.210799999999998,-3.141271977852753,,
,,4.210899999999998,-3.141242841270156,,
,,4.210999999999998,-3.1412136185837483,,
,,4.211099999999998,-3.1411843097935446,,
,,4.211199999999998,-3.141154914899545,,
,,4.211299999999998,-3.141125433901749,,
,,4.211399999999998,-3.1410958668001427,,
,,4.211499999999998,-3.1410662135947405,,
,,4.211599999999998,-3.141036474285542,,
,,4.211699999999998,-3.1410066488725477,,
,,4.2117999999999975,-3.1409767373557287,,
,,4.211899999999998,-3.140946739735128,,
,,4.211999999999998,-3.140916656010731,,
