Lattice parameter (Å) for Au,Potential energy (eV) for Au,Lattice parameter linspace (Å) for Au,Fitted energy (eV) curve for Au,Lattice parameter (Å) for min E_pot for  Au,Minimum E_pot (eV) for Au
,,4.1274,-3.1355909753497144,,
,,4.1274999999999995,-3.135633649335716,,
,,4.1276,-3.135676237217922,,
,,4.1277,-3.1357187389963315,,
,,4.1278,-3.135761154670945,,
,,4.1278999999999995,-3.135803484241748,,
,,4.128,-3.1358457277087552,,
,,4.1281,-3.1358878850719663,,
,,4.1282,-3.135929956331381,,
,,4.128299999999999,-3.135971941487,,
,,4.1284,-3.1360138405388227,,
,,4.1285,-3.136055653486835,,
,,4.1286,-3.1360973803310515,,
,,4.128699999999999,-3.1361390210714717,,
,,4.1288,-3.1361805757080816,,
,,4.1289,-3.1362220442409097,,
,,4.129,-3.1362634266699274,,
,,4.129099999999999,-3.136304722995135,,
,,4.1292,-3.1363459332165604,,
,,4.1293,-3.1363870573341757,,
,,4.1293999999999995,-3.136428095347995,,
,,4.1295,-3.136469047258018,,
,,4.1296,-3.136509913064245,,
,,4.1297,-3.1365506927666758,,
,,4.1297999999999995,-3.1365913863652963,,
,,4.1299,-3.136631993860121,,
,,4.13,-3.136672515251149,,
,,4.1301,-3.1367129505383815,,
,,4.130199999999999,-3.1367532997217893,,
,,4.1303,-3.136793562801415,,
,,4.1304,-3.136833739777245,,
,,4.1305,-3.1368738306492787,,
,,4.130599999999999,-3.1369138354175163,,
,,4.1307,-3.1369537540819437,,
,,4.1308,-3.136993586642575,,
,,4.1309,-3.13703333309941,,
,,4.130999999999999,-3.137072993452435,,
,,4.1311,-3.137112567701678,,
,,4.1312,-3.1371520558471104,,
,,4.1312999999999995,-3.137191457888747,,
,,4.131399999999999,-3.1372307738265732,,
,,4.1315,-3.1372700036606034,,
,,4.1316,-3.1373091473908516,,
,,4.1316999999999995,-3.1373482050172896,,
,,4.131799999999999,-3.1373871765399173,,
,,4.1319,-3.137426061958763,,
,,4.132,-3.1374648612737985,,
,,4.132099999999999,-3.137503574485052,,
,,4.1322,-3.1375422015924954,,
,,4.1323,-3.1375807425961284,,
,,4.1324,-3.1376191974959795,,
,,4.132499999999999,-3.137657566292006,,
,,4.1326,-3.137695848984251,,
,,4.1327,-3.1377340455726994,,
,,4.1328,-3.1377721560573377,,
,,4.132899999999999,-3.137810180438194,,
,,4.133,-3.1378481187152403,,
,,4.1331,-3.1378859708884903,,
,,4.1331999999999995,-3.13792373695793,,
,,4.133299999999999,-3.137961416923588,,
,,4.1334,-3.1379990107854354,,
,,4.1335,-3.138036518543487,,
,,4.1335999999999995,-3.138073940197742,,
,,4.133699999999999,-3.138111275748173,,
,,4.1338,-3.1381485251948362,,
,,4.1339,-3.138185688537689,,
,,4.1339999999999995,-3.138222765776746,,
,,4.134099999999999,-3.1382597569119923,,
,,4.1342,-3.138296661943457,,
,,4.1343,-3.138333480871111,,
,,4.134399999999999,-3.1383702136949694,,
,,4.134499999999999,-3.1384068604150315,,
,,4.1346,-3.1384434210312833,,
,,4.1347,-3.138479895543753,,
,,4.134799999999999,-3.1385162839523986,,
,,4.1349,-3.138552586257262,,
,,4.135,-3.1385888024583153,,
,,4.1350999999999996,-3.1386249325555866,,
,,4.135199999999999,-3.1386609765490476,,
,,4.1353,-3.1386969344387126,,
,,4.1354,-3.138732806224567,,
,,4.1354999999999995,-3.13876859190664,,
,,4.135599999999999,-3.1388042914849024,,
,,4.1357,-3.1388399049593687,,
,,4.1358,-3.138875432330039,,
,,4.1358999999999995,-3.138910873596913,,
,,4.135999999999999,-3.1389462287599628,,
,,4.1361,-3.1389814978192305,,
,,4.1362,-3.139016680774702,,
,,4.136299999999999,-3.1390517776263778,,
,,4.136399999999999,-3.139086788374243,,
,,4.1365,-3.139121713018312,,
,,4.1366,-3.1391565515585853,,
,,4.136699999999999,-3.1391913039950623,,
,,4.136799999999999,-3.139225970327743,,
,,4.1369,-3.139260550556614,,
,,4.137,-3.1392950446816883,,
,,4.137099999999999,-3.1393294527029525,,
,,4.1372,-3.139363774620435,,
,,4.1373,-3.139398010434107,,
,,4.1373999999999995,-3.1394321601439827,,
,,4.137499999999999,-3.1394662237500626,,
,,4.1376,-3.1395002012523463,,
