Lattice parameter (Å) for Au, Potential energy (eV) for Au, Lattice parameter linspace (Å) for Au, Fitted energy (eV) curve for Au
, , 4.3024000000000004, -3.1010534800182796
, , 4.3028, -3.100724892151703
, , 4.3032, -3.100395065453313
, , 4.3036, -3.1000639999230657
, , 4.304, -3.0997316955610046
, , 4.3044, -3.099398152367101
, , 4.3048, -3.099063370341355
, , 4.3052, -3.0987273494837666
, , 4.3056, -3.09839008979435
, , 4.306, -3.098051591273091
, , 4.3064, -3.0977118539200177
, , 4.3068, -3.097370877735102
, , 4.3072, -3.09702866271833
, , 4.3076, -3.0966852088697294
, , 4.308, -3.0963405161893007
, , 4.308400000000001, -3.0959945846770296
, , 4.308800000000001, -3.0956474143329444
, , 4.309200000000001, -3.0952990051570026
, , 4.3096000000000005, -3.0949493571492326
, , 4.3100000000000005, -3.09459847030962
, , 4.3104000000000005, -3.094246344638165
, , 4.3108, -3.093892980134896
, , 4.3112, -3.0935383767997706
, , 4.3116, -3.093182534632817
, , 4.312, -3.0928254536340347
, , 4.3124, -3.092467133803396
, , 4.3128, -3.0921075751409433
, , 4.3132, -3.091746777646648
, , 4.3136, -3.0913847413205247
, , 4.314, -3.0910214661625446
, , 4.3144, -3.0906569521727363
, , 4.3148, -3.0902911993510997
, , 4.3152, -3.0899242076976208
, , 4.3156, -3.0895559772123278
, , 4.316000000000001, -3.089186507895178
, , 4.316400000000001, -3.088815799746186
, , 4.316800000000001, -3.0884438527653657
, , 4.317200000000001, -3.088070666952703
, , 4.3176000000000005, -3.087696242308212
, , 4.3180000000000005, -3.0873205788318927
, , 4.3184000000000005, -3.086943676523731
, , 4.3188, -3.086565535383727
, , 4.3192, -3.0861861554118946
, , 4.3196, -3.0858055366082198
, , 4.32, -3.0854236789727167
, , 4.3204, -3.0850405825053855
, , 4.3208, -3.084656247206212
, , 4.3212, -3.0842706730751956
, , 4.3216, -3.083883860112337
, , 4.322, -3.0834958083176502
, , 4.3224, -3.0831065176911494
, , 4.3228, -3.082715988232792
, , 4.3232, -3.082324219942592
, , 4.3236, -3.081931212820564
, , 4.324, -3.081536966866693
, , 4.324400000000001, -3.0811414820809944
, , 4.324800000000001, -3.0807447584634673
, , 4.325200000000001, -3.0803467960140978
, , 4.3256000000000006, -3.079947594732886
, , 4.3260000000000005, -3.0795471546198314
, , 4.3264000000000005, -3.079145475674949
, , 4.3268, -3.078742557898238
, , 4.3272, -3.078338401289699
, , 4.3276, -3.0779330058493173
, , 4.328, -3.077526371577079
, , 4.3284, -3.077118498473027
, , 4.3288, -3.076709386537132
, , 4.3292, -3.076299035769395
, , 4.3296, -3.075887446169844
, , 4.33, -3.0754746177384362
, , 4.3304, -3.0750605504752
, , 4.3308, -3.0746452443801218
, , 4.3312, -3.074228699453215
, , 4.3316, -3.073810915694466
, , 4.332000000000001, -3.0733918931038886
, , 4.332400000000001, -3.072971631681469
, , 4.332800000000001, -3.0725501314272208
, , 4.333200000000001, -3.0721273923411303
, , 4.333600000000001, -3.0717034144231974
, , 4.3340000000000005, -3.0712781976734504
, , 4.3344000000000005, -3.070851742091861
, , 4.3348, -3.0704240476784292
, , 4.3352, -3.069995114433155
, , 4.3356, -3.0695649423560525
, , 4.336, -3.0691335314471075
, , 4.3364, -3.0687008817063486
, , 4.3368, -3.068266993133733
, , 4.3372, -3.067831865729275
, , 4.3376, -3.067395499493003
, , 4.338, -3.066957894424874
, , 4.3384, -3.066519050524917
, , 4.3388, -3.066078967793146
, , 4.3392, -3.0656376462295185
, , 4.3396, -3.0651950858340484
, , 4.34, -3.06475128660675
, , 4.340400000000001, -3.0643062485476094
, , 4.340800000000001, -3.0638599716566546
, , 4.341200000000001, -3.063412455933843
, , 4.341600000000001, -3.0629637013792035
, , 4.3420000000000005, -3.0625137079927214
, , 4.3424000000000005, -3.062062475774411
, , 4.3428, -3.0616100047242583
, , 4.3432, -3.0611562948422915
, , 4.3436, -3.060701346128468
, , 4.344, -3.060245158582802
, , 4.3444, -3.059787732205308
, , 4.3448, -3.0593290669959856
, , 4.3452, -3.058869162954821
, , 4.3456, -3.0584080200818278
, , 4.346, -3.0579456383769923
, , 4.3464, -3.0574820178403144
, , 4.3468, -3.057017158471808
, , 4.3472, -3.056551060271474
, , 4.3476, -3.056083723239283
, , 4.348000000000001, -3.0556151473752777
, , 4.348400000000001, -3.0551453326794302
, , 4.348800000000001, -3.0546742791517403
, , 4.349200000000001, -3.054201986792222
, , 4.349600000000001, -3.0537284556008615
, , 4.3500000000000005, -3.0532536855776584
, , 4.3504000000000005, -3.0527776767226413
, , 4.3508000000000004, -3.052300429035782
, , 4.3512, -3.05182194251708
, , 4.3516, -3.0513422171665354
, , 4.352, -3.0508612529841628
, , 4.3524, -3.050379049969962
, , 4.3528, -3.0498956081239186
, , 4.3532, -3.049410927446033
, , 4.3536, -3.048925007936319
, , 4.354, -3.0484378495947624
, , 4.3544, -3.0479494524213777
, , 4.3548, -3.047459816416165
, , 4.3552, -3.0469689415790953
, , 4.3556, -3.0464768279101975
, , 4.356, -3.0459834754094715
, , 4.356400000000001, -3.045488884076903
, , 4.356800000000001, -3.044993053912492
, , 4.357200000000001, -3.044495984916267
, , 4.357600000000001, -3.0439976770882
, , 4.3580000000000005, -3.0434981304282758
, , 4.3584000000000005, -3.0429973449365377
, , 4.3588000000000005, -3.042495320612943
, , 4.3592, -3.0419920574575343
, , 4.3596, -3.041487555470283
, , 4.36, -3.0409818146511896
, , 4.3604, -3.0404748350002677
, , 4.3608, -3.0399666165175034
, , 4.3612, -3.039457159202911
, , 4.3616, -3.038946463056476
, , 4.362, -3.038434528078213
, , 4.3624, -3.037921354268107
, , 4.3628, -3.037406941626159
, , 4.3632, -3.036891290152383
, , 4.3636, -3.0363743998467783
, , 4.364000000000001, -3.0358562707093313
, , 4.364400000000001, -3.035336902740056
, , 4.364800000000001, -3.034816295938924
, , 4.365200000000001, -3.0342944503059783
, , 4.365600000000001, -3.033771365841176
, , 4.3660000000000005, -3.033247042544545
, , 4.3664000000000005, -3.0327214804161002
, , 4.3668000000000005, -3.032194679455799
, , 4.3672, -3.031666639663655
, , 4.3676, -3.031137361039683
, , 4.368, -3.0306068435838824
, , 4.3684, -3.0300750872962396
, , 4.3688, -3.0295420921767686
, , 4.3692, -3.029007858225455
, , 4.3696, -3.0284723854422992
, , 4.37, -3.027935673827315
, , 4.3704, -3.0273977233804885
, , 4.3708, -3.0268585341018337
, , 4.3712, -3.0263181059913506
, , 4.3716, -3.025776439049025
, , 4.372, -3.0252335332748572
, , 4.372400000000001, -3.024689388668847
, , 4.372800000000001, -3.0241440052310082
, , 4.373200000000001, -3.0235973829613556
, , 4.373600000000001, -3.0230495218598463
, , 4.3740000000000006, -3.0225004219264946
, , 4.3744000000000005, -3.0219500831613146
, , 4.3748000000000005, -3.0213985055643064
, , 4.3752, -3.0208456891354416
, , 4.3756, -3.020291633874777
, , 4.376, -3.0197363397822414
, , 4.3764, -3.019179806857892
, , 4.3768, -3.0186220351016857
, , 4.3772, -3.0180630245136513
, , 4.3776, -3.0175027750937886
, , 4.378, -3.0169412868420977
, , 4.3784, -3.0163785597585644
, , 4.3788, -3.0158145938431886
, , 4.3792, -3.0152493890959704
, , 4.3796, -3.014682945516924
, , 4.380000000000001, -3.014115263106035
, , 4.380400000000001, -3.013546341863332
, , 4.380800000000001, -3.012976181788787
, , 4.381200000000001, -3.012404782882385
, , 4.381600000000001, -3.0118321451441687
, , 4.382000000000001, -3.011258268574096
, , 4.3824000000000005, -3.0106831531722236
, , 4.3828000000000005, -3.01010679893848
, , 4.3832, -3.0095292058729086
, , 4.3836, -3.008950373975509
, , 4.384, -3.0083703032462665
, , 4.3844, -3.007788993685182
, , 4.3848, -3.007206445292283
, , 4.3852, -3.006622658067542
, , 4.3856, -3.0060376320109583
, , 4.386, -3.0054513671225322
, , 4.3864, -3.004863863402278
, , 4.3868, -3.0042751208501812
, , 4.3872, -3.0036851394662705
, , 4.3876, -3.003093919250503
, , 4.388, -3.0025014602029074
, , 4.388400000000001, -3.0019077623234693
, , 4.388800000000001, -3.001312825612203
, , 4.389200000000001, -3.0007166500690943
, , 4.389600000000001, -3.0001192356941573
, , 4.390000000000001, -2.999520582487378
, , 4.3904000000000005, -2.99892069044877
, , 4.3908000000000005, -2.99831955957832
, , 4.3912, -2.9977171898760275
, , 4.3916, -2.9971135813419068
, , 4.392, -2.9965087339759577
, , 4.3924, -2.9959026477781663
, , 4.3928, -2.9952953227485466
, , 4.3932, -2.9946867588870703
, , 4.3936, -2.9940769561937657
, , 4.394, -2.993465914668647
, , 4.3944, -2.992853634311672
, , 4.3948, -2.9922401151228684
, , 4.3952, -2.9916253571022224
, , 4.3956, -2.9910093602497483
, , 4.396000000000001, -2.9903921245654175
, , 4.396400000000001, -2.989773650049287
, , 4.396800000000001, -2.9891539367012996
, , 4.397200000000001, -2.98853298452147
, , 4.397600000000001, -2.987910793509812
, , 4.398000000000001, -2.9872873636663115
, , 4.3984000000000005, -2.986662694990983
, , 4.3988000000000005, -2.986036787483826
, , 4.3992, -2.9854096411448268
, , 4.3996, -2.984781255973985
, , 4.4, -2.984151631971315
