Lattice parameter (Å) for Au, Potential energy (eV) for Au, Lattice parameter linspace (Å) for Au, Fitted energy (eV) curve for Au
, , 4.0688, -3.08133153989489
, , 4.0692, -3.081726429820449
, , 4.0696, -3.08212008091418
, , 4.07, -3.0825124931760826
, , 4.0704, -3.0829036666061143
, , 4.0708, -3.083293601204346
, , 4.0712, -3.0836822969707356
, , 4.0716, -3.0840697539052826
, , 4.072, -3.084455972007987
, , 4.0724, -3.0848409512788635
, , 4.0728, -3.0852246917179116
, , 4.0732, -3.085607193325103
, , 4.0736, -3.0859884561004804
, , 4.074, -3.086368480044001
, , 4.0744, -3.086747265155708
, , 4.0748, -3.0871248114355723
, , 4.0752, -3.08750111888358
, , 4.0756, -3.0878761874997878
, , 4.0760000000000005, -3.088250017284139
, , 4.0764000000000005, -3.0886226082366477
, , 4.0768, -3.088993960357328
, , 4.0772, -3.0893640736461805
, , 4.0776, -3.089732948103176
, , 4.078, -3.090100583728372
, , 4.0784, -3.090466980521697
, , 4.0788, -3.090832138483208
, , 4.0792, -3.0911960576128763
, , 4.0796, -3.091558737910688
, , 4.08, -3.0919201793767
, , 4.0804, -3.0922803820108555
, , 4.0808, -3.0926393458131827
, , 4.0812, -3.0929970707836674
, , 4.0816, -3.0933535569223096
, , 4.082, -3.093708804229138
, , 4.0824, -3.0940628127041094
, , 4.0828, -3.094415582347253
, , 4.0832, -3.094767113158568
, , 4.0836, -3.0951174051380406
, , 4.084, -3.095466458285685
, , 4.0844000000000005, -3.095814272601487
, , 4.0848, -3.0961608480854323
, , 4.0852, -3.0965061847375637
, , 4.0856, -3.0968502825578668
, , 4.086, -3.097193141546313
, , 4.0864, -3.0975347617029456
, , 4.0868, -3.0978751430277214
, , 4.0872, -3.098214285520683
, , 4.0876, -3.098552189181788
, , 4.088, -3.098888854011065
, , 4.0884, -3.099224280008528
, , 4.0888, -3.0995584671741057
, , 4.0892, -3.099891415507898
, , 4.0896, -3.1002231250098333
, , 4.09, -3.1005535956799264
, , 4.0904, -3.100882827518191
, , 4.0908, -3.1012108205246136
, , 4.0912, -3.1015375746992078
, , 4.0916, -3.1018630900419453
, , 4.0920000000000005, -3.102187366552883
, , 4.0924000000000005, -3.102510404231964
, , 4.0928, -3.102832203079217
, , 4.0932, -3.103152763094627
, , 4.0936, -3.1034720842782093
, , 4.094, -3.103790166629935
, , 4.0944, -3.1041070101498462
, , 4.0948, -3.1044226148379153
, , 4.0952, -3.104736980694142
, , 4.0956, -3.1050501077185544
, , 4.096, -3.105361995911096
, , 4.0964, -3.105672645271838
, , 4.0968, -3.105982055800723
, , 4.0972, -3.10629022749778
, , 4.0976, -3.1065971603629947
, , 4.098, -3.106902854396367
, , 4.0984, -3.107207309597925
, , 4.0988, -3.1075105259676263
, , 4.0992, -3.1078125035055137
, , 4.0996, -3.1081132422115445
, , 4.1, -3.108412742085747
, , 4.1004000000000005, -3.1087110031281213
, , 4.1008000000000004, -3.109008025338653
, , 4.1012, -3.109303808717357
, , 4.1016, -3.1095983532642038
, , 4.102, -3.1098916589792367
, , 4.1024, -3.110183725862413
, , 4.1028, -3.1104745539137753
, , 4.1032, -3.110764143133281
, , 4.1036, -3.1110524935209725
, , 4.104, -3.1113396050768216
, , 4.1044, -3.1116254778008283
, , 4.1048, -3.111910111693007
, , 4.1052, -3.1121935067533286
, , 4.1056, -3.1124756629818364
, , 4.106, -3.112756580378502
, , 4.1064, -3.1130362589433247
, , 4.1068, -3.1133146986763194
, , 4.1072, -3.1135918995774716
, , 4.1076, -3.11386786164681
, , 4.1080000000000005, -3.1141425848842914
, , 4.1084000000000005, -3.1144160692899447
, , 4.1088000000000005, -3.1146883148637556
, , 4.1092, -3.1149593216057525
, , 4.1096, -3.1152290895158785
, , 4.11, -3.1154976185941905
, , 4.1104, -3.11576490884066
, , 4.1108, -3.1160309602553014
, , 4.1112, -3.1162957728381
, , 4.1116, -3.1165593465890566
