Lattice parameter (Å) for Pt, Potential energy (eV) for Pt, Lattice parameter linspace (Å) for Pt, Fitted energy (eV) curve for Pt
, , 3.8948, -6.375487928065738
, , 3.8952, -6.375955840582549
, , 3.8956, -6.3764217246665424
, , 3.896, -6.376885580317676
, , 3.8964, -6.377347407535993
, , 3.8968, -6.377807206321492
, , 3.8971999999999998, -6.3782649766741315
, , 3.8975999999999997, -6.378720718593968
, , 3.8979999999999997, -6.379174432080973
, , 3.8984, -6.379626117135132
, , 3.8988, -6.380075773756474
, , 3.8992, -6.380523401944984
, , 3.8996, -6.380969001700663
, , 3.9, -6.3814125730235105
, , 3.9004, -6.381854115913541
, , 3.9008, -6.382293630370711
, , 3.9012, -6.382731116395078
, , 3.9015999999999997, -6.383166573986614
, , 3.902, -6.383600003145318
, , 3.9024, -6.384031403871191
, , 3.9028, -6.384460776164232
, , 3.9032, -6.384888120024442
, , 3.9036, -6.38531343545182
, , 3.904, -6.3857367224463815
, , 3.9044, -6.386157981008111
, , 3.9048, -6.386577211136995
, , 3.9052, -6.386994412833062
, , 3.9055999999999997, -6.387409586096297
, , 3.9059999999999997, -6.3878227309267
, , 3.9064, -6.388233847324273
, , 3.9068, -6.3886429352890275
, , 3.9072, -6.3890499948209225
, , 3.9076, -6.3894550259200145
, , 3.908, -6.389858028586275
, , 3.9084, -6.390259002819704
, , 3.9088, -6.3906579486203015
, , 3.9092, -6.3910548659880675
, , 3.9095999999999997, -6.391449754923002
, , 3.91, -6.391842615425105
, , 3.9104, -6.392233447494391
, , 3.9108, -6.392622251130845
, , 3.9112, -6.393009026334454
, , 3.9116, -6.393393773105245
, , 3.912, -6.393776491443219
, , 3.9124, -6.3941571813483336
, , 3.9128, -6.394535842820645
, , 3.9132, -6.39491247586011
, , 3.9135999999999997, -6.395287080466744
, , 3.9139999999999997, -6.395659656640561
, , 3.9144, -6.396030204381546
, , 3.9148, -6.3963987236896855
, , 3.9152, -6.396765214565008
, , 3.9156, -6.397129677007513
, , 3.916, -6.397492111017158
, , 3.9164, -6.397852516594
, , 3.9168, -6.39821089373801
, , 3.9172, -6.398567242449175
, , 3.9175999999999997, -6.398921562727523
, , 3.918, -6.399273854573039
, , 3.9184, -6.399624117985724
, , 3.9188, -6.399972352965577
, , 3.9192, -6.400318559512598
, , 3.9196, -6.400662737626803
, , 3.92, -6.4010048873081615
, , 3.9204, -6.401345008556703
, , 3.9208, -6.401683101372413
, , 3.9212, -6.402019165755277
, , 3.9215999999999998, -6.402353201705338
, , 3.9219999999999997, -6.402685209222554
, , 3.9224, -6.403015188306938
, , 3.9228, -6.4033431389584905
, , 3.9232, -6.403669061177226
, , 3.9236, -6.403992954963115
, , 3.924, -6.404314820316188
, , 3.9244, -6.4046346572364286
, , 3.9248, -6.404952465723838
, , 3.9252, -6.405268245778416
, , 3.9255999999999998, -6.405581997400176
, , 3.926, -6.4058937205891056
, , 3.9264, -6.406203415345175
, , 3.9268, -6.406511081668441
, , 3.9272, -6.406816719558876
, , 3.9276, -6.407120329016479
, , 3.928, -6.407421910041251
, , 3.9284, -6.407721462633205
, , 3.9288, -6.4080189867923
, , 3.9292, -6.408314482518591
, , 3.9295999999999998, -6.408607949812051
, , 3.9299999999999997, -6.4088993886726655
, , 3.9304, -6.409188799100463
, , 3.9308, -6.409476181095428
, , 3.9312, -6.409761534657562
, , 3.9316, -6.410044859786865
, , 3.932, -6.41032615648335
, , 3.9324, -6.410605424746976
, , 3.9328, -6.410882664577798
, , 3.9332, -6.411157875975789
, , 3.9335999999999998, -6.4114310589409484
, , 3.934, -6.411702213473276
, , 3.9344, -6.411971339572773
, , 3.9348, -6.412238437239452
, , 3.9352, -6.412503506473271
, , 3.9356, -6.412766547274288
, , 3.936, -6.413027559642472
, , 3.9364, -6.4132865435778115
, , 3.9368, -6.413543499080333
, , 3.9372, -6.413798426150024
, , 3.9375999999999998, -6.4140513247868824
, , 3.9379999999999997, -6.41430219499091
, , 3.9384, -6.41455103676212
, , 3.9388, -6.414797850100484
, , 3.9392, -6.4150426350060314
, , 3.9396, -6.415285391478747
, , 3.94, -6.415526119518617
, , 3.9404, -6.41576481912567
, , 3.9408, -6.416001490299905
, , 3.9412, -6.416236133041281
, , 3.9415999999999998, -6.416468747349853
, , 3.942, -6.41669933322558
, , 3.9424, -6.4169278906684895
, , 3.9428, -6.417154419678553
, , 3.9432, -6.417378920255814
, , 3.9436, -6.417601392400229
, , 3.944, -6.4178218361117985
, , 3.9444, -6.418040251390565
, , 3.9448, -6.4182566382365
, , 3.9452, -6.418470996649589
, , 3.9455999999999998, -6.418683326629846
, , 3.9459999999999997, -6.418893628177301
, , 3.9464, -6.419101901291896
, , 3.9468, -6.419308145973673
, , 3.9472, -6.419512362222619
, , 3.9476, -6.419714550038734
, , 3.948, -6.419914709422031
, , 3.9484, -6.420112840372482
, , 3.9488, -6.420308942890102
, , 3.9492, -6.420503016974919
, , 3.9495999999999998, -6.420695062626891
, , 3.95, -6.42088507984603
, , 3.9504, -6.4210730686323245
, , 3.9508, -6.421259028985816
, , 3.9512, -6.421442960906475
, , 3.9516, -6.421624864394289
, , 3.952, -6.421804739449286
, , 3.9524, -6.421982586071451
, , 3.9528, -6.42215840426077
, , 3.9532, -6.422332194017272
, , 3.9536, -6.422503955340957
, , 3.9539999999999997, -6.422673688231782
, , 3.9544, -6.422841392689804
, , 3.9548, -6.423007068714995
, , 3.9552, -6.4231707163073395
, , 3.9556, -6.423332335466867
, , 3.956, -6.423491926193563
, , 3.9564, -6.423649488487428
, , 3.9568, -6.423805022348461
, , 3.9572, -6.423958527776676
, , 3.9576, -6.424110004772032
, , 3.958, -6.424259453334585
, , 3.9584, -6.4244068734643065
, , 3.9588, -6.424552265161196
, , 3.9592, -6.424695628425255
, , 3.9596, -6.424836963256482
, , 3.96, -6.424976269654877
, , 3.9604, -6.425113547620441
, , 3.9608, -6.425248797153188
, , 3.9612, -6.425382018253103
, , 3.9616, -6.4255132109201725
, , 3.9619999999999997, -6.425642375154425
, , 3.9624, -6.4257695109558455
, , 3.9628, -6.4258946183244205
, , 3.9632, -6.426017697260193
, , 3.9636, -6.426138747763133
, , 3.964, -6.426257769833214
, , 3.9644, -6.426374763470491
, , 3.9648, -6.426489728674937
, , 3.9652, -6.426602665446538
, , 3.9656, -6.426713573785335
, , 3.966, -6.426822453691287
, , 3.9664, -6.426929305164421
, , 3.9668, -6.427034128204696
, , 3.9672, -6.427136922812167
, , 3.9676, -6.427237688986807
, , 3.968, -6.427336426728601
, , 3.9684, -6.427433136037578
, , 3.9688, -6.427527816913724
, , 3.9692, -6.427620469357038
, , 3.9696, -6.42771109336752
, , 3.9699999999999998, -6.427799688945186
, , 3.9704, -6.427886256090005
, , 3.9708, -6.4279707948020075
, , 3.9712, -6.428053305081178
, , 3.9716, -6.4281337869275035
, , 3.972, -6.428212240341011
, , 3.9724, -6.428288665321702
, , 3.9728, -6.428363061869533
, , 3.9732, -6.42843542998456
, , 3.9736, -6.4285057696667565
, , 3.974, -6.428574080916121
, , 3.9744, -6.42864036373264
, , 3.9748, -6.428704618116342
, , 3.9752, -6.428766844067212
, , 3.9756, -6.428827041585251
, , 3.976, -6.428885210670458
, , 3.9764, -6.428941351322848
, , 3.9768, -6.4289954635423925
, , 3.9772, -6.4290475473291195
, , 3.9776, -6.429097602683015
, , 3.9779999999999998, -6.429145629604065
, , 3.9784, -6.429191628092298
, , 3.9788, -6.429235598147713
, , 3.9792, -6.429277539770268
, , 3.9796, -6.429317452960021
, , 3.98, -6.429355337716942
, , 3.9804, -6.429391194041017
, , 3.9808, -6.429425021932275
, , 3.9812, -6.429456821390701
, , 3.9816, -6.429486592416296
, , 3.982, -6.42951433500906
, , 3.9824, -6.429540049168992
, , 3.9828, -6.4295637348961066
, , 3.9832, -6.429585392190376
, , 3.9836, -6.429605021051827
, , 3.984, -6.429622621480448
, , 3.9844, -6.429638193476222
, , 3.9848, -6.429651737039194
, , 3.9852, -6.42966325216932
, , 3.9856, -6.429672738866614
, , 3.9859999999999998, -6.429680197131091
, , 3.9864, -6.429685626962723
, , 3.9868, -6.429689028361523
, , 3.9872, -6.429690401327505
, , 3.9876, -6.429689745860671
, , 3.988, -6.429687061960976
, , 3.9884, -6.429682349628479
, , 3.9888, -6.4296756088631355
, , 3.9892, -6.429666839664961
, , 3.9896, -6.429656042033969
, , 3.99, -6.429643215970145
, , 3.9904, -6.42962836147349
, , 3.9908, -6.42961147854399
, , 3.9912, -6.429592567181686
, , 3.9916, -6.429571627386537
, , 3.992, -6.429548659158556
, , 3.9924, -6.429523662497743
, , 3.9928, -6.429496637404114
, , 3.9932, -6.4294675838776385
, , 3.9936, -6.42943650191836
, , 3.9939999999999998, -6.429403391526236
, , 3.9944, -6.4293682527012805
, , 3.9948, -6.4293310854434935
, , 3.9952, -6.429291889752875
, , 3.9956, -6.429250665629425
, , 3.996, -6.429207413073158
, , 3.9964, -6.429162132084059
, , 3.9968, -6.429114822662115
, , 3.9972, -6.429065484807367
, , 3.9976, -6.429014118519774
, , 3.998, -6.428960723799349
, , 3.9984, -6.428905300646093
, , 3.9988, -6.42884784906002
, , 3.9992, -6.428788369041115
, , 3.9996, -6.428726860589364
, , 4.0, -6.4286633237047965
, , 4.0004, -6.428597758387397
, , 4.0008, -6.428530164637166
, , 4.0012, -6.428460542454104
, , 4.0016, -6.428388891838225
, , 4.002, -6.428315212789499
, , 4.0024, -6.428239505307957
, , 4.0028, -6.428161769393583
, , 4.0032, -6.428082005046363
, , 4.0036, -6.428000212266326
, , 4.004, -6.427916391053472
, , 4.0044, -6.427830541407772
, , 4.0048, -6.427742663329241
, , 4.0052, -6.427652756817892
, , 4.0056, -6.427560821873712
, , 4.006, -6.427466858496686
, , 4.0064, -6.427370866686843
, , 4.0068, -6.427272846444168
, , 4.0072, -6.427172797768662
, , 4.0076, -6.427070720660325
, , 4.008, -6.42696661511917
, , 4.0084, -6.4268604811451695
, , 4.0088, -6.426752318738352
, , 4.0092, -6.4266421278987025
, , 4.0096, -6.4265299086262075
, , 4.01, -6.426415660920895
, , 4.0104, -6.426299384782766
, , 4.0108, -6.426181080211791
, , 4.0112, -6.426060747207984
, , 4.0116, -6.42593838577136
, , 4.0120000000000005, -6.425813995901905
, , 4.0124, -6.425687577599604
, , 4.0128, -6.425559130864485
, , 4.0132, -6.425428655696535
, , 4.0136, -6.425296152095754
, , 4.014, -6.4251616200621555
, , 4.0144, -6.425025059595711
, , 4.0148, -6.4248864706964355
, , 4.0152, -6.4247458533643425
, , 4.0156, -6.424603207599418
, , 4.016, -6.424458533401662
, , 4.0164, -6.4243118307710745
, , 4.0168, -6.42416309970767
, , 4.0172, -6.424012340211405
, , 4.0176, -6.423859552282337
, , 4.018, -6.423704735920438
, , 4.0184, -6.423547891125693
, , 4.0188, -6.423389017898131
, , 4.0192, -6.423228116237738
, , 4.0196, -6.4230651861445125
, , 4.02, -6.422900227618456
, , 4.0204, -6.422733240659568
, , 4.0208, -6.4225642252678625
, , 4.0212, -6.4223931814433115
, , 4.0216, -6.422220109185943
, , 4.022, -6.4220450084957434
, , 4.0224, -6.421867879372712
, , 4.0228, -6.4216887218168495
, , 4.0232, -6.4215075358281695
, , 4.0236, -6.42132432140663
, , 4.024, -6.421139078552287
, , 4.0244, -6.420951807265112
, , 4.0248, -6.420762507545092
, , 4.0252, -6.420571179392255
, , 4.0256, -6.420377822806586
, , 4.026, -6.420182437788085
, , 4.0264, -6.4199850243367536
, , 4.0268, -6.4197855824526044
, , 4.0272, -6.41958411213561
, , 4.0276, -6.419380613385798
, , 4.0280000000000005, -6.41917508620314
, , 4.0284, -6.418967530587679
, , 4.0288, -6.418757946539358
, , 4.0292, -6.41854633405822
, , 4.0296, -6.418332693144265
, , 4.03, -6.418117023797464
, , 4.0304, -6.417899326017832
, , 4.0308, -6.417679599805382
, , 4.0312, -6.4174578451600865
, , 4.0316, -6.417234062081988
, , 4.032, -6.417008250571044
, , 4.0324, -6.416780410627254
, , 4.0328, -6.416550542250661
, , 4.0332, -6.416318645441237
, , 4.0336, -6.416084720198967
, , 4.034, -6.4158487665238795
, , 4.0344, -6.415610784415961
, , 4.0348, -6.415370773875196
, , 4.0352, -6.415128734901614
, , 4.0356, -6.414884667495215
, , 4.036, -6.414638571655956
, , 4.0364, -6.414390447383894
, , 4.0368, -6.414140294678987
, , 4.0372, -6.413888113541262
, , 4.0376, -6.413633903970691
, , 4.038, -6.413377665967317
, , 4.0384, -6.413119399531098
, , 4.0388, -6.412859104662047
, , 4.0392, -6.412596781360165
, , 4.0396, -6.412332429625465
, , 4.04, -6.41206604945792
, , 4.0404, -6.411797640857557
, , 4.0408, -6.411527203824363
, , 4.0412, -6.411254738358323
, , 4.0416, -6.410980244459466
, , 4.042, -6.410703722127792
, , 4.0424, -6.410425171363272
, , 4.0428, -6.410144592165921
, , 4.0432, -6.409861984535752
, , 4.0436, -6.409577348472737
, , 4.0440000000000005, -6.409290683976906
, , 4.0444, -6.4090019910482425
, , 4.0448, -6.408711269686762
, , 4.0452, -6.408418519892422
, , 4.0456, -6.408123741665278
, , 4.046, -6.407826935005289
, , 4.0464, -6.407528099912469
, , 4.0468, -6.407227236386831
, , 4.0472, -6.4069243444283615
, , 4.0476, -6.406619424037061
, , 4.048, -6.406312475212928
, , 4.0484, -6.406003497955979
, , 4.0488, -6.405692492266169
, , 4.0492, -6.405379458143557
, , 4.0496, -6.405064395588113
, , 4.05, -6.404747304599823
, , 4.0504, -6.404428185178716
, , 4.0508, -6.404107037324778
, , 4.0512, -6.403783861038008
, , 4.0516, -6.403458656318406
, , 4.052, -6.403131423165988
, , 4.0524000000000004, -6.402802161580723
, , 4.0528, -6.4024708715626275
, , 4.0532, -6.402137553111714
, , 4.0536, -6.401802206227984
, , 4.054, -6.401464830911394
, , 4.0544, -6.401125427161986
, , 4.0548, -6.400783994979761
, , 4.0552, -6.400440534364677
, , 4.0556, -6.400095045316789
, , 4.056, -6.39974752783607
, , 4.0564, -6.399397981922505
, , 4.0568, -6.399046407576122
, , 4.0572, -6.398692804796923
, , 4.0576, -6.3983371735848635
, , 4.058, -6.397979513940001
, , 4.0584, -6.397619825862293
, , 4.0588, -6.397258109351753
, , 4.0592, -6.396894364408396
, , 4.0596, -6.396528591032208
, , 4.0600000000000005, -6.396160789223188
, , 4.0604000000000005, -6.395790958981323
, , 4.0608, -6.395419100306654
, , 4.0612, -6.39504521319914
, , 4.0616, -6.394669297658794
, , 4.062, -6.394291353685631
, , 4.0624, -6.393911381279636
, , 4.0628, -6.393529380440796
, , 4.0632, -6.393145351169139
, , 4.0636, -6.392759293464664
, , 4.064, -6.392371207327329
, , 4.0644, -6.391981092757192
, , 4.0648, -6.391588949754208
, , 4.0652, -6.391194778318393
, , 4.0656, -6.390798578449761
, , 4.066, -6.3904003501482975
, , 4.0664, -6.390000093413988
, , 4.0668, -6.389597808246876
, , 4.0672, -6.389193494646918
, , 4.0676, -6.388787152614128
, , 4.068, -6.388378782148521
, , 4.0684000000000005, -6.387968383250069
, , 4.0688, -6.387555955918799
, , 4.0692, -6.387141500154684
, , 4.0696, -6.386725015957751
, , 4.07, -6.386306503328001
, , 4.0704, -6.385885962265391
, , 4.0708, -6.385463392769978
, , 4.0712, -6.3850387948417335
, , 4.0716, -6.384612168480629
, , 4.072, -6.384183513686722
, , 4.0724, -6.383752830459997
, , 4.0728, -6.3833201188004125
, , 4.0732, -6.382885378708011
, , 4.0736, -6.3824486101827915
, , 4.074, -6.3820098132247125
, , 4.0744, -6.38156898783383
, , 4.0748, -6.381126134010117
, , 4.0752, -6.380681251753558
, , 4.0756, -6.380234341064181
, , 4.0760000000000005, -6.379785401941973
, , 4.0764000000000005, -6.379334434386934
, , 4.0768, -6.378881438399063
, , 4.0772, -6.378426413978374
, , 4.0776, -6.3779693611248405
, , 4.078, -6.377510279838475
, , 4.0784, -6.377049170119292
, , 4.0788, -6.376586031967278
, , 4.0792, -6.376120865382433
, , 4.0796, -6.3756536703647555
, , 4.08, -6.375184446914261
, , 4.0804, -6.374713195030907
, , 4.0808, -6.3742399147147495
, , 4.0812, -6.373764605965761
, , 4.0816, -6.373287268783926
, , 4.082, -6.372807903169274
, , 4.0824, -6.372326509121805
, , 4.0828, -6.371843086641476
, , 4.0832, -6.37135763572833
, , 4.0836, -6.370870156382367
, , 4.084, -6.3703806486035575
, , 4.0844000000000005, -6.369889112391917
, , 4.0848, -6.369395547747459
, , 4.0852, -6.368899954670184
, , 4.0856, -6.368402333160049
, , 4.086, -6.367902683217096
, , 4.0864, -6.3674010048413265
, , 4.0868, -6.366897298032711
, , 4.0872, -6.366391562791264
, , 4.0876, -6.365883799117
, , 4.088, -6.3653740070098905
, , 4.0884, -6.364862186469978
, , 4.0888, -6.364348337497219
, , 4.0892, -6.363832460091615
, , 4.0896, -6.363314554253208
, , 4.09, -6.362794619981969
, , 4.0904, -6.3622726572778845
, , 4.0908, -6.361748666140983
, , 4.0912, -6.36122264657125
, , 4.0916, -6.360694598568671
, , 4.0920000000000005, -6.3601645221332745
, , 4.0924000000000005, -6.359632417265047
, , 4.0928, -6.359098283964002
, , 4.0932, -6.358562122230097
, , 4.0936, -6.358023932063389
, , 4.094, -6.35748371346385
, , 4.0944, -6.356941466431465
, , 4.0948, -6.356397190966277
, , 4.0952, -6.355850887068243
, , 4.0956, -6.355302554737364
, , 4.096, -6.354752193973681
, , 4.0964, -6.354199804777167
, , 4.0968, -6.353645387147807
, , 4.0972, -6.35308894108563
, , 4.0976, -6.352530466590622
, , 4.098, -6.351969963662768
, , 4.0984, -6.351407432302096
, , 4.0988, -6.350842872508608
, , 4.0992, -6.350276284282259
, , 4.0996, -6.3497076676231075
, , 4.1, -6.349137022531124
, , 4.1004000000000005, -6.34856434900631
, , 4.1008000000000004, -6.347989647048664
, , 4.1012, -6.347412916658172
, , 4.1016, -6.346834157834863
, , 4.102, -6.346253370578722
, , 4.1024, -6.34567055488975
, , 4.1028, -6.345085710767961
, , 4.1032, -6.344498838213326
, , 4.1036, -6.343909937225874
, , 4.104, -6.34331900780559
, , 4.1044, -6.342726049952461
, , 4.1048, -6.342131063666528
, , 4.1052, -6.34153404894775
, , 4.1056, -6.3409350057961404
, , 4.106, -6.3403339342117135
, , 4.1064, -6.339730834194455
, , 4.1068, -6.339125705744351
, , 4.1072, -6.33851854886143
, , 4.1076, -6.337909363545677
, , 4.1080000000000005, -6.337298149797093
, , 4.1084000000000005, -6.336684907615691
, , 4.1088000000000005, -6.3360696370014296
, , 4.1092, -6.335452337954365
, , 4.1096, -6.334833010474469
, , 4.11, -6.334211654561727
, , 4.1104, -6.333588270216168
, , 4.1108, -6.332962857437764
