Surface metal, Adsorption position, Activation energy CO and O (eV)
Au, fcc, 0.06976158409682842
Au, hcp, 0.03148373990773923
Au, ontop, -0.17621612947825707
Au, bridge, 0.09217074806720849
Pt, fcc, 0.7273933881406962
Pt, hcp, 0.6104529569269731
Pt, ontop, 0.6048398635829146
Pt, bridge, 0.7676556156386242
Rh, fcc, 0.9814929716748012
Rh, hcp, 0.9497457892884499
Rh, ontop, 0.8322686528698442
Rh, bridge, 1.0282503518241997
