 id|age|user  |formula|calculator  |energy|natoms| fmax|pbc|  volume|charge|   mass| smax|magmom|gaid|raw_score|mutation|simulation_cell|extinct|origin                    |generation|relaxed|pairing|description
 79|15h|liljav|Na6    |gpaw        |-4.934|     6|0.010|FFF|4096.000| 0.000|137.939|     | 0.000|  77|    4.934|        |               |      0|MirrorMutation            |         0|      1|       |           
 34|15h|liljav|Na6    |gpaw        |-4.934|     6|0.012|FFF|4096.000| 0.000|137.939|     | 0.000|  14|    4.934|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
187|13h|liljav|Na6    |gpaw        |-4.934|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000| 186|    4.934|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
165|14h|liljav|Na6    |gpaw        |-4.934|     6|0.011|FFF|4096.000| 0.000|137.939|     | 0.000| 163|    4.934|        |               |      0|RattleMutation            |         0|      1|       |           
 26|16h|liljav|Na6    |gpaw        |-4.933|     6|0.019|FFF|4096.000| 0.000|137.939|     | 0.000|   6|    4.933|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
 63|15h|liljav|Na6    |gpaw        |-4.933|     6|0.014|FFF|4096.000| 0.000|137.939|     | 0.000|  62|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
202|13h|liljav|Na6    |gpaw        |-4.933|     6|0.017|FFF|4096.000| 0.000|137.939|     | 0.000| 201|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
156|14h|liljav|Na6    |gpaw        |-4.933|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000| 155|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
158|14h|liljav|Na6    |gpaw        |-4.933|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000| 157|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 83|14h|liljav|Na6    |gpaw        |-4.933|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000|  82|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 81|14h|liljav|Na6    |gpaw        |-4.933|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000|  80|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
176|13h|liljav|Na6    |gpaw        |-4.933|     6|0.014|FFF|4096.000| 0.000|137.939|     | 0.000| 175|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 45|15h|liljav|Na6    |gpaw        |-4.933|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000|  44|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
126|14h|liljav|Na6    |gpaw        |-4.933|     6|0.014|FFF|4096.000| 0.000|137.939|     | 0.000| 125|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 29|16h|liljav|Na6    |gpaw        |-4.933|     6|0.014|FFF|4096.000| 0.000|137.939|     | 0.000|   9|    4.933|        |               |      0|StartingCandidateUnrelaxed|         0|      1|       |           
162|14h|liljav|Na6    |gpaw        |-4.933|     6|0.017|FFF|4096.000| 0.000|137.939|     | 0.000| 161|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
119|14h|liljav|Na6    |gpaw        |-4.933|     6|0.017|FFF|4096.000| 0.000|137.939|     | 0.000| 118|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
149|14h|liljav|Na6    |gpaw        |-4.933|     6|0.016|FFF|4096.000| 0.000|137.939|     | 0.000| 148|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 72|15h|liljav|Na6    |gpaw        |-4.933|     6|0.015|FFF|4096.000| 0.000|137.939|     | 0.000|  71|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
167|14h|liljav|Na6    |gpaw        |-4.933|     6|0.020|FFF|4096.000| 0.000|137.939|     | 0.000| 166|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 98|14h|liljav|Na6    |gpaw        |-4.933|     6|0.020|FFF|4096.000| 0.000|137.939|     | 0.000|  97|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
154|14h|liljav|Na6    |gpaw        |-4.933|     6|0.012|FFF|4096.000| 0.000|137.939|     | 0.000| 153|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 76|15h|liljav|Na6    |gpaw        |-4.933|     6|0.013|FFF|4096.000| 0.000|137.939|     | 0.000|  75|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
141|14h|liljav|Na6    |gpaw        |-4.933|     6|0.020|FFF|4096.000| 0.000|137.939|     | 0.000| 140|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 59|15h|liljav|Na6    |gpaw        |-4.933|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000|  58|    4.933|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
 50|15h|liljav|Na6    |gpaw        |-4.932|     6|0.018|FFF|4096.000| 0.000|137.939|     | 0.000|  49|    4.932|        |               |      0|CutAndSplicePairing       |         0|      1|       |           
135|14h|liljav|Na6    |gpaw        |-4.932|     6|0.019|FFF|4096.000| 0.000|137.939|     | 0.000| 133|    4.932|        |               |      0|MirrorMutation            |         0|      1|       |           
