       Step     Time          Energy         fmax
GPMin:    0 13:25:33       -4.375563        0.1165
GPMin:    1 13:25:42       -4.377210        0.1257
GPMin:    2 13:25:51       -4.402228        0.0129
GPMin:    3 13:26:59       -4.402567        0.0030
GPMin:    4 13:27:19       -4.402692        0.0043
GPMin:    5 13:27:25       -4.402708        0.0037
GPMin:    6 13:27:30       -4.402739        0.0011
GPMin:    7 13:27:42       -4.402757        0.0009
