Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 1000 points
0.01, 0.9999339960177167, 1.0000665697218303
0.02, 0.9997386032315205, 0.999870529987169
0.03, 0.9994176802741279, 0.9995489728918413
0.04, 0.9989749939474706, 0.9991056649841019
0.05, 0.9984142212448504, 0.9985442830086148
0.06, 0.9977389513302182, 0.9978684158856115
0.07, 0.996952687475396, 0.9970815666480204
0.08, 0.9960588489561459, 0.9961871543374373
0.09, 0.9950607729079284, 0.9951885158597957
0.1, 0.9939617161422003, 0.9940889078015744
0.11, 0.9927648569240812, 0.9928915082073653
0.12, 0.9914732967121678, 0.9915994183196046
0.13, 0.9900900618613084, 0.9902156642812595
0.14, 0.9886181052890928, 0.9887431988022366
0.15, 0.9870603081068294, 0.9871849027902732
0.16, 0.9854194812157404, 0.9855435869470498
0.17, 0.9836983668690982, 0.9838219933302481
0.18, 0.9818996402010187, 0.9820227968822699
0.19, 0.9800259107226132, 0.9801486069263047
0.2, 0.9780797237861645, 0.9782019686304351
0.21, 0.9760635620180063, 0.9761853644404443
0.22, 0.9739798467207614, 0.9741012154819778
0.23, 0.97183093924557, 0.9719518829327025
0.24, 0.9696191423349392, 0.9697396693650894
0.25, 0.9673467014368331, 0.9674668200604317
0.26, 0.9650158059905962, 0.9651355242947043
0.27, 0.9626285906853078, 0.9627479165968498
0.28, 0.9601871366911321, 0.9603060779800692
0.29, 0.9576934728642459, 0.9578120371466835
0.3, 0.9551495769258849, 0.9552677716671184
0.31, 0.9525573766160531, 0.9526752091335534
0.32, 0.9499187508224249, 0.9500362282887683
0.33, 0.9472355306849698, 0.9473526601307048
0.34, 0.9445095006767941, 0.9446262889932545
0.35000000000000003, 0.941742399661706, 0.9418588536037678
0.36, 0.9389359219289959, 0.939052048117778
0.37, 0.9360917182058996, 0.9362075231314142
0.38, 0.9332113966482245, 0.933326886671972
0.39, 0.9302965238095879, 0.9304117051671026
0.4, 0.9273486255897245, 0.9274635043930676
0.41000000000000003, 0.9243691881622953, 0.9244837704025007
0.42, 0.9213596588826352, 0.9214739504321062
0.43, 0.9183214471758587, 0.9184354537907158
0.44, 0.9152559254057338, 0.9153696527281189
0.45, 0.9121644297247362, 0.9122778832850689
0.46, 0.9090482609056725, 0.9091614461248614
0.47000000000000003, 0.9059086851552638, 0.9060216073468765
0.48, 0.9027469349100712, 0.9028595992824592
0.49, 0.899564209615132, 0.8996766212735134
0.5, 0.896361676485673, 0.8964738404341757
0.51, 0.8931404712522582, 0.8932523923959212
0.52, 0.8899016988897195, 0.8900133820364545
0.53, 0.8866464343302116, 0.8867578841927275
0.54, 0.8833757231607291, 0.8834869443584161
0.55, 0.880090582305412, 0.8802015793661901
0.56, 0.8767920006929614, 0.876902778055091
0.5700000000000001, 0.8734809399094787, 0.8735915019233363
0.58, 0.8701583348370406, 0.8702686857668596
0.59, 0.8668250942783075, 0.8669352383038823
0.6, 0.863482101567461, 0.8635920427858209
0.61, 0.8601302151677658, 0.8602399575948128
0.62, 0.8567702692560291, 0.8568798168281442
0.63, 0.8534030742942449, 0.8535124308698637
0.64, 0.85002941758869, 0.8501385869498452
0.65, 0.8466500638367371, 0.8467590496905716
0.66, 0.8432657556616492, 0.8433745616418991
0.67, 0.8398772141356052, 0.839985843804054
0.68, 0.8364851392912147, 0.8365935961391167
0.6900000000000001, 0.8330902106217557, 0.8331984980712337
0.7000000000000001, 0.8296930875703842, 0.829801208975798
0.71, 0.8262944100085462, 0.8264023686578346
0.72, 0.8228947987038202, 0.8230025978198159
0.73, 0.8194948557774208, 0.8196024985191396
0.74, 0.8160951651515754, 0.8162026546154801
0.75, 0.8126962929869971, 0.8128036322082361
0.76, 0.8092987881106607, 0.809405980064282
0.77, 0.8059031824340896, 0.8060102300362313
0.78, 0.8025099913623573, 0.8026168974714133
0.79, 0.7991197141939983, 0.799226481611762
0.8, 0.7957328345120254, 0.7958394659848109
0.81, 0.7923498205662437, 0.7924563187859844
0.8200000000000001, 0.7889711256470449, 0.7890774932523694
0.8300000000000001, 0.7855971884508643, 0.7857034280281531
0.84, 0.7822284334374829, 0.7823345475219019
0.85, 0.7788652711793422, 0.7789712622558573
0.86, 0.7755080987030496, 0.7756139692074212
0.87, 0.7721572998232366, 0.7722630521429932
0.88, 0.7688132454689376, 0.7689188819443308
0.89, 0.7654762940026456, 0.7655818169275871
0.9, 0.7621467915322062, 0.7622522031551846
0.91, 0.7588250722157008, 0.7589303747406815
0.92, 0.7555114585594698, 0.7556166541467764
0.93, 0.752206261709425, 0.7523113524766033
0.9400000000000001, 0.7489097817357928, 0.7490147697584587
0.9500000000000001, 0.7456223079114334, 0.7457271952241018
0.96, 0.7423441189838684, 0.7424489075807684
0.97, 0.7390754834411601, 0.7391801752770314
0.98, 0.7358166597717662, 0.7359212567626423
0.99, 0.7325678967185084, 0.7326724007424822
1.0, 0.7293294335267746, 0.7294338464247501
1.01, 0.7261015001870845, 0.7262058237635131
1.02, 0.7228843176721369, 0.7229885536957392
1.03, 0.7196780981684601, 0.7197822483729333
1.04, 0.7164830453027806, 0.7165871113874922
1.05, 0.7132993543632258, 0.7134033379938933
1.06, 0.7101272125154708, 0.7102311153248281
1.07, 0.7069667990139412, 0.7070706226023913
1.08, 0.7038182854081758, 0.7039220313444317
1.09, 0.7006818357444585, 0.70078550556617
1.1, 0.6975576067628171, 0.6976612019771865
1.11, 0.6944457480894942, 0.694549270173879
1.12, 0.6913464024249857, 0.691449852827489
1.1300000000000001, 0.6882597057277438, 0.6883630858677946
1.1400000000000001, 0.6851857873936402, 0.6852890986625605
1.1500000000000001, 0.68212477043128, 0.6822280141928414
1.16, 0.6790767716332579, 0.6791799492242275
1.17, 0.6760419017434446, 0.6761450144741193
1.18, 0.6730202656203906, 0.6731233147751216
1.19, 0.6700119623969313, 0.6701149492346374
1.2, 0.6670170856360771, 0.667120011390749
1.21, 0.6640357234832697, 0.6641385893644627
1.22, 0.6610679588150832, 0.6611707660084023
1.23, 0.6581138693844502, 0.6582166190520229
1.24, 0.6551735279624847, 0.6552762212434272
1.25, 0.6522470024769822, 0.6523496404878542
1.26, 0.649334356147664, 0.6494369399829156
1.27, 0.6464356476182423, 0.6465381783506519
1.28, 0.6435509310853723, 0.6436534097664753
1.29, 0.6406802564245611, 0.6407826840850713
1.3, 0.6378236693131015, 0.637926046963323
1.31, 0.6349812113500944, 0.6350835399803255
1.32, 0.6321529201736245, 0.632255200754554
1.33, 0.6293388295751526, 0.6294410630582485
1.34, 0.6265389696111863, 0.6266411569290757
1.35, 0.6237533667122874, 0.6238555087791302
1.36, 0.6209820437894772, 0.6210841415013314
1.37, 0.6182250203380955, 0.6183270745732756
1.3800000000000001, 0.6154823125391703, 0.6155843241585993
1.3900000000000001, 0.6127539333583552, 0.6128559032059079
1.4000000000000001, 0.6100398926424835, 0.610141821545325
1.41, 0.6073401972137987, 0.607442085982715
1.42, 0.6046548509619071, 0.604756700391629
1.43, 0.6019838549335066, 0.602085665803028
1.44, 0.5993272074199401, 0.5994289804928301
1.45, 0.5966849040426223, 0.5967866400673297
1.46, 0.5940569378363864, 0.5941586375465399
1.47, 0.591443299330799, 0.5915449634454999
1.48, 0.5888439766294864, 0.588945605853597
1.49, 0.5862589554875186, 0.5863605505119436
1.5, 0.5836882193868934, 0.5837897808888565
1.51, 0.5811317496101639, 0.5812332782534787
1.52, 0.5785895253122502, 0.5786910217475857
1.53, 0.5760615235904766, 0.5761629884556178
1.54, 0.5735477195528751, 0.5736491534729775
1.55, 0.571048086384792, 0.5711494899726323
1.56, 0.5685625954138374, 0.568663969270058
1.57, 0.566091216173215, 0.5661925608865651
1.58, 0.5636339164634687, 0.5637352326110389
1.59, 0.5611906624126801, 0.5612919505601338
1.6, 0.5587614185351549, 0.5588626792369544
1.61, 0.5563461477886293, 0.556447381588258
1.62, 0.5539448116300332, 0.5540460190602121
1.6300000000000001, 0.5515573700698393, 0.551658551652741
1.6400000000000001, 0.5491837817250335, 0.5492849379724907
1.6500000000000001, 0.5468240038707357, 0.5469251352844461
1.6600000000000001, 0.5444779924905039, 0.5445790995622304
1.67, 0.5421457023253483, 0.5422467855371162
1.68, 0.5398270869214885, 0.5399281467457785
1.69, 0.5375220986768804, 0.537623135576817
1.7, 0.5352306888865409, 0.5353317033160783
1.71, 0.5329528077866995, 0.5330538001908027
1.72, 0.5306884045978016, 0.5307893754126243
1.73, 0.5284374275663909, 0.5285383772194506
1.74, 0.5261998240058977, 0.5263007529162462
1.75, 0.5239755403363566, 0.5240764489147477
1.76, 0.5217645221230784, 0.5218654107721323
1.77, 0.5195667141143018, 0.5196675832286664
1.78, 0.5173820602778467, 0.5174829102443549
1.79, 0.5152105038367937, 0.5153113350346185
1.8, 0.5130519873042116, 0.5131528001050177
1.81, 0.510906452516954, 0.5110072472850467
1.82, 0.5087738406685494, 0.5088746177610199
1.83, 0.5066540923412028, 0.5067548521080717
1.84, 0.5045471475369319, 0.5046478903212883
1.85, 0.5024529457078555, 0.502553671845995
1.86, 0.5003714257856577, 0.5004721356072167
1.87, 0.49830252621024307, 0.4984032200383305
