Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units)
0.001, 0.9999993339995399, 1.0
0.08153020134228188, 0.9959127960467047, 1.0032161086715234
0.16206040268456376, 0.9850713404285099, 0.9844767685008639
0.24259060402684562, 0.9690361739698647, 0.9622102428049372
0.3231208053691275, 0.9490860722465762, 0.937449419122351
0.4036510067114094, 0.9262644092542243, 0.9109973841288047
0.48418120805369125, 0.9014186549732273, 0.8834947743704149
0.5647114093959732, 0.8752335213727899, 0.8554516655884148
0.645241610738255, 0.8482587548039547, 0.8272712646807876
0.7257718120805369, 0.8209324181345269, 0.7992690684382447
0.8063020134228188, 0.793600375110042, 0.7716886716167324
0.8868322147651007, 0.7665325786663341, 0.7447148817017081
0.9673624161073825, 0.7399366712011622, 0.7184846115931605
1.0478926174496643, 0.7139693255315045, 0.6930959225056214
1.1284228187919463, 0.6887456882119944, 0.6686155221131278
1.208953020134228, 0.6643472301967769, 0.6450849714712255
1.28948322147651, 0.6408282619048844, 0.622525812707142
1.370013422818792, 0.6182213292529373, 0.6009437951811752
1.4505436241610736, 0.5965416730083839, 0.5803323492231789
1.5310738255033556, 0.5757909049254503, 0.5606754325761012
1.6116040268456375, 0.5559600297357649, 0.541949854537945
1.6921342281879193, 0.537031921482697, 0.5241271658538401
1.7726644295302012, 0.5189833453253061, 0.5071751881567255
1.8531946308724832, 0.5017866012969052, 0.4910592447621348
1.9337248322147649, 0.48541085416328655, 0.4757431445334228
2.014255033557047, 0.46982320313000947, 0.46118996204925955
2.0947852348993288, 0.4549895363948918, 0.44736265017342697
2.1753154362416107, 0.4408752081755486, 0.43422451513552196
2.2558456375838927, 0.42744556964632446, 0.42173957920088123
2.336375838926174, 0.4146663800114717, 0.40987285178765087
2.416906040268456, 0.4025041195673255, 0.3985905263507357
2.497436241610738, 0.39092622293483037, 0.3878601173885779
2.57796644295302, 0.3799012475646044, 0.3776505494483693
2.658496644295302, 0.3693989900364676, 0.36793220793158377
2.739026845637584, 0.3593905605151491, 0.35867695976988
2.819557046979866, 0.3498484239171752, 0.349858150596813
2.9000872483221474, 0.3407464148345126, 0.34145058383734905
2.9806174496644293, 0.3320597320009964, 0.33343048613609405
3.0611476510067113, 0.3237649170379086, 0.32577546271368346
3.141677852348993, 0.31583982134157085, 0.31846444555145037
3.222208053691275, 0.308263564250062, 0.3114776367340651
3.302738255033557, 0.3010164850242223, 0.30479644880885537
3.3832684563758386, 0.2940800906798142, 0.2984034436325883
3.4637986577181206, 0.2874370012961141, 0.2922822708578106
3.5443288590604025, 0.28107089408704744, 0.2864176069499091
3.6248590604026845, 0.2749664472422641, 0.28079509541309666
3.7053892617449664, 0.26910928431722086, 0.2754012887304756
3.7859194630872484, 0.2634859197649304, 0.27022359238333854
3.86644966442953, 0.25808370605048075, 0.26525021120223674
3.946979865771812, 0.252890782666773, 0.26047009821233635
4.027510067114094, 0.2478960272712093, 0.25587290606417745
4.108040268456376, 0.24308900908411704, 0.2514489410848625
4.188570469798658, 0.23845994462705875, 0.24718911994114112
4.26910067114094, 0.23399965582993654, 0.2430849288725412
4.349630872483222, 0.22969953049755204, 0.23912838542769477
4.430161073825504, 0.22555148509700496, 0.23531200261875687
4.510691275167786, 0.22154792980534307, 0.23162875539598282
4.591221476510068, 0.21768173574082034, 0.2280720493360465
4.671751677852349, 0.2139462042898343, 0.22463569143264417
4.752281879194631, 0.21033503843414458, 0.2213138628756197
4.832812080536913, 0.20684231597854566, 0.21810109370463468
4.913342281879195, 0.20346246457712697, 0.21499223922484012
4.993872483221477, 0.2001902384560816, 0.21198245807465002
5.074402684563759, 0.19702069673228587, 0.20906719183926353
5.154932885906041, 0.19394918322921514, 0.20624214610777597
5.2354630872483225, 0.19097130769490248, 0.20350327287633796
5.3159932885906045, 0.18808292833035659, 0.20084675420470396
5.396523489932886, 0.1852801355409486, 0.19826898703853468
5.477053691275168, 0.18255923682760727, 0.1957665691148656
5.55758389261745, 0.17991674273911482, 0.19333628587315577
5.638114093959732, 0.17734935381127895, 0.19097509829923584
5.718644295302013, 0.17485394842319965, 0.18868013163420252
5.799174496644295, 0.17242757150520308, 0.1864486648848961
5.879704697986577, 0.1700674240372365, 0.18427812107692848
5.960234899328859, 0.16777085328058022, 0.18216605819539633
6.040765100671141, 0.1655353436896178, 0.18011016076231734
6.121295302013423, 0.16335850845409833, 0.17810823200352144
6.201825503355705, 0.16123808162582204, 0.17615818656120125
6.282355704697987, 0.1591719107869764, 0.17425804371156192
6.362885906040269, 0.15715795022044848, 0.17240592105004654
6.443416107382551, 0.15519425454534228, 0.1706000286094398
6.523946308724833, 0.15327897278364347, 0.16883866337877132
6.604476510067115, 0.1514103428265058, 0.16712020419339174
6.685006711409397, 0.14958668627098962, 0.1654431069688445
6.765536912751678, 0.147806403600274, 0.16380590025326577
6.84606711409396, 0.14606796968239738, 0.162207181074971
6.926597315436242, 0.14436992956446676, 0.16064561106368797
7.007127516778524, 0.14271089454102165, 0.15911991282554858
7.087657718120806, 0.14108953847685474, 0.15762886655348118
7.1681879194630875, 0.1395045943660843, 0.1561713068560535
7.2487181208053695, 0.13795485111065467, 0.15474611978911768
7.329248322147651, 0.13643915050271474, 0.15335224007580772
7.409778523489933, 0.13495638439650126, 0.15198864850154264
7.490308724832215, 0.13350549205643983, 0.15065436947170707
7.570838926174497, 0.1320854576691767, 0.14934846872061847
7.651369127516779, 0.13069530800817933, 0.14807005116125152
7.73189932885906, 0.12933411024039373, 0.14681825886598535
