Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units) with 10 points
0.0, nan, inf
1.1111111111111112, 0.6941007558783978, 1.1717503874117012
2.2222222222222223, 0.432971738737319, 0.6362374245787861
3.3333333333333335, 0.29834557605825823, 0.4190709523356453
4.444444444444445, 0.2248310568085627, 0.3057742576905941
5.555555555555555, 0.17998236450054075, 0.23725140017532018
6.666666666666667, 0.14999813746368884, 0.19150799171441832
7.777777777777779, 0.12857123049303254, 0.1588272730919019
8.88888888888889, 0.11249997884031343, 0.13431597573765683
10.0, 0.09999999773273102, 0.11525154986156012
