Radial distance r (a.u.), Calculated helium wavefunction
0.1, 1.0890141824794608
0.2, 0.8991123647058893
0.30000000000000004, 0.7457510071760074
0.4, 0.6212859409046082
0.5, 0.5197302506212655
0.6000000000000001, 0.4364193500584359
0.7000000000000001, 0.36771890125679274
0.8, 0.310788545577503
0.9, 0.2633976085871815
1.0, 0.22378391948798193
1.1, 0.19054653916150271
1.2000000000000002, 0.1625644459283343
1.3, 0.13893482347842673
1.4000000000000001, 0.11892606240667446
1.5, 0.10194179023324908
1.6, 0.0874931803083987
1.7000000000000002, 0.0751774970041728
1.8, 0.0646613608694393
1.9000000000000001, 0.05566760617135962
2.0, 0.04796488951560061
2.1, 0.04135941901263835
2.2, 0.03568832893373669
2.3000000000000003, 0.030814339855289835
2.4000000000000004, 0.026621429790698717
2.5, 0.023011305658349482
2.6, 0.019900512373621646
2.7, 0.017218053054988375
2.8000000000000003, 0.014903421338225184
2.9000000000000004, 0.01290496781833969
3.0, 0.01117853881351653
3.1, 0.009686338167281178
3.2, 0.008395972560417825
3.3000000000000003, 0.0072796484516289214
3.4000000000000004, 0.00631349479766456
3.5, 0.0054769904894007805
3.6, 0.004752479259394171
3.7, 0.004124757880961064
3.8000000000000003, 0.003580725950934766
3.9000000000000004, 0.00310908755252855
4.0, 0.0027000967274708044
4.1000000000000005, 0.0023453400226443816
4.2, 0.0020375504743843143
4.3, 0.0017704482993869993
4.4, 0.0015386043112390578
4.5, 0.001337322704801577
4.6000000000000005, 0.001162540370185923
4.7, 0.00101074033237828
4.800000000000001, 0.0008788772766757935
4.9, 0.0007643134261146001
5.0, 0.000664763294871459
5.1000000000000005, 0.000578246059275116
5.2, 0.0005030444721918598
5.300000000000001, 0.000437669402605999
5.4, 0.0003808292147068271
5.5, 0.0003314033134565508
5.6000000000000005, 0.00028841927955686143
5.7, 0.00025103309854795924
5.800000000000001, 0.00021851205863114754
5.9, 0.00019021995152256098
6.0, 0.00016560426174876133
6.1000000000000005, 0.00014418507357156297
6.2, 0.0001255454622651481
6.300000000000001, 0.0001093231686813408
6.4, 9.520338370626525e-05
6.5, 8.29124929930873e-05
6.6000000000000005, 7.221265281150314e-05
6.7, 6.289708546189105e-05
6.800000000000001, 5.478599786677379e-05
6.9, 4.772304002097277e-05
7.0, 4.157223125044755e-05
7.1000000000000005, 3.6215291951318906e-05
7.2, 3.154932687141703e-05
7.300000000000001, 2.74848132423694e-05
7.4, 2.3943853329689385e-05
7.5, 2.0858656377999478e-05
7.6000000000000005, 1.817021960552563e-05
7.7, 1.582718194705082e-05
7.800000000000001, 1.3784827744112358e-05
7.9, 1.2004220609916246e-05
8.0, 1.045145031830421e-05
8.1, 9.096977836412318e-06
8.200000000000001, 7.915065587012395e-06
8.3, 6.883281729982741e-06
8.4, 5.982068728339428e-06
8.5, 5.194367743334345e-06
8.6, 4.505291511691623e-06
8.700000000000001, 3.901839318895061e-06
8.8, 3.3726485152473125e-06
8.9, 2.907777743210424e-06
9.0, 2.4985176700070594e-06
9.1, 2.1372255613148116e-06
9.200000000000001, 1.8171805011074311e-06
9.3, 1.5324564687684397e-06
9.4, 1.277810835720754e-06
9.5, 1.0485861470576023e-06
9.600000000000001, 8.406233151226393e-07
9.700000000000001, 6.501845769362612e-07
9.8, 4.738847603193196e-07
9.9, 3.0862956841273115e-07
10.0, 1.5155973235585164e-07
