Maximum radial distance r_max (a.u.), Calculated ground state energy
5.0, -2.860646860434996
10.0, -2.8612298711849142
15.0, -2.861284996427094
20.0, -2.86130424311348
25.0, -2.86131312859866
30.0, -2.8613179424995243
