Radial distance r (atomic units), theoretical hydrogen ground state wavefunction (atomic units), calculated hydrogen ground state wavefunction (atomic units) with 100 points
0.1, 0.5104998460601351, 0.5097349831424451
0.2, 0.46191936261680744, 0.46130381648784247
0.30000000000000004, 0.41796192341100824, 0.4174742111899636
0.4, 0.3781875876165602, 0.37780896185185203
0.5, 0.34219828031221655, 0.3419124030070547
0.6000000000000001, 0.3096338084140515, 0.30942646231140025
0.7000000000000001, 0.2801682557420114, 0.28002708873045784
0.8, 0.25350672114123995, 0.2534210200934313
0.9, 0.22938236701220158, 0.22934285776948565
1.0, 0.20755374871029736, 0.2075524192860509
1.1, 0.18780239808670982, 0.18783234248118888
1.2000000000000002, 0.1699306369857399, 0.16998591729116166
1.3, 0.15375959881538287, 0.15383512354503803
1.4000000000000001, 0.13912743839035602, 0.13921885519311805
1.5, 0.1258877121310868, 0.1259913132556499
1.6, 0.1139079124071467, 0.11402055146132106
1.7000000000000002, 0.10306814135634886, 0.1031871600681035
1.8, 0.09325991090664403, 0.09338307473741475
1.9000000000000001, 0.0843850569910314, 0.08451049857998068
2.0, 0.07635475708858216, 0.07648092662068459
2.1, 0.06908864125879556, 0.06921426295132885
2.2, 0.06251398777222124, 0.0626380217648068
2.3000000000000003, 0.0565649952869482, 0.05668660430091141
2.4000000000000004, 0.05118212428665843, 0.05130064449123183
2.5, 0.04631150118913561, 0.04642641677587377
2.6, 0.04190437916134673, 0.04201530018490505
2.7, 0.037916650244752846, 0.03802329333868124
2.8000000000000003, 0.0343084039080347, 0.03441057552912315
2.9000000000000004, 0.031043527609080933, 0.031141109503682842
3.0, 0.028089345368528827, 0.028182281989723224
3.1, 0.02541629073757996, 0.025504578373502437
3.2, 0.022997610887043128, 0.023081288288648208
3.3000000000000003, 0.02080909885602777, 0.02088823917733529
3.4000000000000004, 0.018828851280543207, 0.018903555166408768
3.5, 0.017037049177269795, 0.017107438853215664
3.6, 0.015415759588512469, 0.015481973824435322
3.7, 0.013948756103132709, 0.01401094593801136
3.8000000000000003, 0.01262135645717193, 0.012679681585453814
3.9000000000000004, 0.011420275588818935, 0.011474901321160762
4.0, 0.010333492677046027, 0.010384587398695829
4.1000000000000005, 0.009350130833191818, 0.009397863892682767
4.2, 0.008460348241403702, 0.008504888210520624
4.3, 0.0076552396584368, 0.0076967529117381046
4.4, 0.006926747286986432, 0.006965396855625837
4.5, 0.006267580130544393, 0.006303524790835793
4.6000000000000005, 0.005671141022655268, 0.005704534584846933
4.7, 0.005131460600257206, 0.005162451367405278
4.800000000000001, 0.004643137560289983, 0.004671867931013678
4.9, 0.0042012846016385745, 0.00422789079396211
5.0, 0.003801479511380884, 0.003826091387874179
5.1000000000000005, 0.0034397209057944783, 0.0034624618828625613
5.2, 0.003112388183163389, 0.0031333752096480657
5.300000000000001, 0.0028162052875791905, 0.002835548879861519
5.4, 0.0025482079210723727, 0.002566012243636002
5.5, 0.0023057138759219067, 0.0023220768578842274
5.6000000000000005, 0.002086296190218862, 0.0021013096696857157
5.7, 0.001887758858015895, 0.0019015087472899286
5.800000000000001, 0.0017081148509616132, 0.0017206813166545242
5.9, 0.0015455662314529843, 0.0015570238844364271
6.0, 0.0013984861582714873, 0.0014089042491663858
6.1000000000000005, 0.0012654026046094, 0.001274845221173041
6.2, 0.0011449836255307483, 0.001153509888868136
6.300000000000001, 0.0010360240274186938, 0.0010436882844300187
6.4, 0.0009374333059927473, 0.0009442853158825792
6.5, 0.0008482247321753913, 0.000854309845199727
6.6000000000000005, 0.0007675054765758241, 0.0007728648034980587
6.7, 0.0006944676737533276, 0.000699138244726242
6.800000000000001, 0.0006283803368283997, 0.0006323952486220405
6.9, 0.000568582041520376, 0.0005719705921804814
7.0, 0.000514474306390912, 0.000517262116543577
7.1000000000000005, 0.0004655156030405937, 0.00046772472316004875
7.2, 0.0004212159363107036, 0.0004228649393417486
7.300000000000001, 0.00038113194024697603, 0.0003822359990244839
7.4, 0.00034486244074410954, 0.0003454333896816339
7.5, 0.0003120444404604793, 0.00031209082099034895
7.6000000000000005, 0.00028234948581873565, 0.00028187657505875894
7.7, 0.00025548037973200565, 0.0002544902018305452
7.800000000000001, 0.00023116820715555437, 0.00022965952672828784
7.9, 0.00020916964369463372, 0.00020713794071371814
8.0, 0.0001892645203321541, 0.0001867019457623784
8.1, 0.00017125361990316074, 0.0001681489313004321
8.200000000000001, 0.00015495668326248737, 0.00015129515945787049
8.3, 0.0001402106051906451, 0.00013597393907820924
8.4, 0.00012686780198196268, 0.00012203397031073206
8.5, 0.00011479473437725653, 0.00010933784331630309
8.6, 0.00010387057105804065, 9.776067615872284e-05
8.700000000000001, 9.398597932607804e-05, 8.7188878345953e-05
8.8, 8.504203086498956e-05, 7.751902774323192e-05
8.9, 7.694921163241156e-05, 6.865684971565433e-05
9.0, 6.962652597337393e-05, 6.051628838261143e-05
9.1, 6.300068598856137e-05, 5.301866079082602e-05
9.200000000000001, 5.700537804438404e-05, 4.609188564579144e-05
9.3, 5.158059908384425e-05, 3.966977899165154e-05
9.4, 4.6672056095773625e-05, 3.369140990439649e-05
9.5, 4.22306227321293e-05, 2.8100509869539996e-05
9.600000000000001, 3.8211847634990515e-05, 2.284493005923509e-05
9.700000000000001, 3.4575509552428314e-05, 1.7876141210597756e-05
9.8, 3.128521479069691e-05, 1.3148771241738142e-05
9.9, 2.8308032973914612e-05, 8.62017612905644e-06
10.0, 2.5614167465793717e-05, 4.2500399126787986e-06
