Radial distance r (atomic units), Calculated helium wavefunction from basis of four gaussians with 1000 points (probability amplitude)
0.0, 1.2132327701053787
0.005005005005005005, 1.2129095663609015
0.01001001001001001, 1.2119414470647414
0.015015015015015015, 1.2103328742077255
0.02002002002002002, 1.2080912385552287
0.025025025025025023, 1.205226791458831
0.03003003003003003, 1.201752550662662
0.035035035035035036, 1.1976841813483305
0.04004004004004004, 1.1930398539810096
0.04504504504504504, 1.1878400808114575
0.050050050050050046, 1.1821075331497413
0.055055055055055056, 1.17586684175209
0.06006006006006006, 1.1691443828492902
0.06506506506506507, 1.1619680524907072
0.07007007007007007, 1.1543670319806503
0.07507507507507508, 1.146371547242416
0.08008008008008008, 1.1380126249599167
0.08508508508508508, 1.1293218483180354
0.09009009009009009, 1.1203311150923516
0.09509509509509509, 1.1110724007289063
0.10010010010010009, 1.1015775289082288
0.10510510510510511, 1.0918779519085107
0.11011011011011011, 1.0820045428746605
0.11511511511511512, 1.0719874018674902
0.12012012012012012, 1.0618556773153003
0.12512512512512514, 1.0516374042235754
0.13013013013013014, 1.0413593602224807
0.13513513513513514, 1.0310469402513716
0.14014014014014015, 1.0207240503995276
0.14514514514514515, 1.0104130211474276
0.15015015015015015, 1.0001345399875543
0.15515515515515516, 0.9899076031518365
0.16016016016016016, 0.9797494859380323
0.16516516516516516, 0.9696757309126133
0.17017017017017017, 0.9597001530755565
0.17517517517517517, 0.9498348609048306
0.18018018018018017, 0.9400902920566598
0.18518518518518517, 0.9304752623826823
0.19019019019019018, 0.9209970268371799
0.19519519519519518, 0.9116613507863834
0.20020020020020018, 0.9024725901967597
0.20520520520520522, 0.8934337791689827
0.21021021021021022, 0.8845467232974759
0.21521521521521522, 0.875812097370106
0.22022022022022023, 0.8672295459766999
0.22522522522522523, 0.8587977856662135
0.23023023023023023, 0.8505147073781498
0.23523523523523523, 0.8423774779716446
0.24024024024024024, 0.8343826397829556
0.24524524524524524, 0.8265262072563565
0.2502502502502503, 0.8188037598122144
0.2552552552552553, 0.8112105302369511
0.2602602602602603, 0.8037414880005103
0.2652652652652653, 0.7963914170258725
0.2702702702702703, 0.7891549875503001
0.2752752752752753, 0.7820268218278194
0.2802802802802803, 0.7750015535256448
0.2852852852852853, 0.7680738807627565
0.2902902902902903, 0.761238612825835
0.2952952952952953, 0.7544907106756497
0.3003003003003003, 0.7478253214254259
0.3053053053053053, 0.7412378070315151
0.3103103103103103, 0.7347237674859063
0.3153153153153153, 0.7282790588399459
0.3203203203203203, 0.7218998064194184
0.3253253253253253, 0.7155824136133747
0.3303303303303303, 0.709323566633343
0.3353353353353353, 0.703120235646486
0.34034034034034033, 0.6969696726865875
0.34534534534534533, 0.6908694067412197
0.35035035035035034, 0.6848172364028244
0.35535535535535534, 0.6788112204565195
0.36036036036036034, 0.6728496667589483
0.36536536536536535, 0.6669311197411918
0.37037037037037035, 0.661054346845309
0.37537537537537535, 0.6552183241791338
0.38038038038038036, 0.6494222216481138
0.38538538538538536, 0.6436653877967424
0.39039039039039036, 0.6379473345660225
0.39539539539539537, 0.6322677221477453
0.40040040040040037, 0.6266263440915857
0.40540540540540543, 0.6210231127973295
0.41041041041041043, 0.6154580455022204
0.41541541541541543, 0.6099312508525918
0.42042042042042044, 0.604442916129761
0.42542542542542544, 0.5989932951826806
0.43043043043043044, 0.5935826971040974
0.43543543543543545, 0.5882114756729576
0.44044044044044045, 0.5828800195734944
0.44544544544544545, 0.5775887433907689
0.45045045045045046, 0.5723380793733461
0.45545545545545546, 0.5671284699461647
0.46046046046046046, 0.5619603609504097
0.46546546546546547, 0.5568341955822023
0.47047047047047047, 0.5517504089980648
0.4754754754754755, 0.5467094235522775
0.4804804804804805, 0.5417116446293143
0.4854854854854855, 0.5367574570333977
0.4904904904904905, 0.5318472218967364
0.4954954954954955, 0.5269812740681279
0.5005005005005005, 0.5221599199441814
0.5055055055055055, 0.5173834357064007
0.5105105105105106, 0.5126520659286445
0.5155155155155156, 0.5079660225210105
0.5205205205205206, 0.5033254839778857
0.5255255255255256, 0.49873059489971805
0.5305305305305306, 0.4941814657599589
0.5355355355355356, 0.48967817289053656
0.5405405405405406, 0.48522075866113956
0.5455455455455456, 0.48080923182946905
0.5505505505505506, 0.4764435680414515
0.5555555555555556, 0.47212371046215573
0.5605605605605606, 0.4678495705198434
0.5655655655655656, 0.46362102874715533
0.5705705705705706, 0.4594379357049305
0.5755755755755756, 0.45530011297553213
0.5805805805805806, 0.45120735421384484
0.5855855855855856, 0.44715942624528715
0.5905905905905906, 0.44315607020126996
0.5955955955955956, 0.43919700268352735
0.6006006006006006, 0.4352819169496458
0.6056056056056056, 0.4314104841129415
0.6106106106106106, 0.4275823543505778
0.6156156156156156, 0.423797158114482
0.6206206206206206, 0.4200545073402289
0.6256256256256256, 0.41635399664959855
0.6306306306306306, 0.4126952045430039
0.6356356356356356, 0.4090776945784243
0.6406406406406406, 0.4055010165338716
0.6456456456456456, 0.40196470755076946
0.6506506506506506, 0.3984682932559441
0.6556556556556556, 0.3950112888602093
0.6606606606606606, 0.39159320023178446
0.6656656656656657, 0.38821352494301736
0.6706706706706707, 0.38487175328909135
0.6756756756756757, 0.38156736927758556
0.6806806806806807, 0.3782998515879324
0.6856856856856857, 0.375068674499967
0.6906906906906907, 0.37187330879091307
0.6956956956956957, 0.368713222600276
0.7007007007007007, 0.3655878822622363
0.7057057057057057, 0.3624967531052467
0.7107107107107107, 0.3594393002186388
0.7157157157157157, 0.356414989186138
0.7207207207207207, 0.35342328678627694
