       Step     Time          Energy         fmax
GPMin:    7 17:07:46       -4.486526        0.1428
GPMin:    8 17:07:59       -4.513907        0.1289
GPMin:    9 17:08:05       -4.534050        0.0575
GPMin:   10 17:08:11       -4.538337        0.0636
GPMin:   11 17:08:16       -4.546369        0.0729
GPMin:   12 17:08:21       -4.553176        0.0849
GPMin:   13 17:08:27       -4.577964        0.1060
GPMin:   14 17:08:33       -4.595074        0.1048
GPMin:   15 17:08:39       -4.628176        0.0942
GPMin:   16 17:08:45       -4.654414        0.0874
GPMin:   17 17:08:50       -4.668073        0.0847
GPMin:   18 17:08:56       -4.687849        0.0766
GPMin:   19 17:09:02       -4.702471        0.0694
GPMin:   20 17:09:07       -4.715802        0.0710
GPMin:   21 17:09:13       -4.730676        0.0728
GPMin:   22 17:09:19       -4.744382        0.0685
GPMin:   23 17:09:24       -4.758486        0.0637
GPMin:   24 17:09:29       -4.772810        0.0618
GPMin:   25 17:09:34       -4.789615        0.0613
GPMin:   26 17:09:40       -4.808242        0.0698
GPMin:   27 17:09:45       -4.831973        0.0792
GPMin:   28 17:09:50       -4.853752        0.0848
GPMin:   29 17:09:55       -4.875430        0.0882
GPMin:   30 17:10:01       -4.890463        0.0830
GPMin:   31 17:10:06       -4.902826        0.0692
GPMin:   32 17:10:11       -4.910959        0.0570
GPMin:   33 17:10:16       -4.916921        0.0519
GPMin:   34 17:10:21       -4.923237        0.0477
GPMin:   35 17:10:26       -4.926156        0.0434
GPMin:   36 17:10:31       -4.930225        0.0354
GPMin:   37 17:10:34       -4.931735        0.0322
GPMin:   38 17:10:39       -4.933377        0.0231
GPMin:   39 17:10:43       -4.933498        0.0192
       Step     Time          Energy         fmax
GPMin:    0 17:10:51       -4.017649        0.9945
GPMin:    1 17:10:58       -4.554066        0.4595
GPMin:    2 17:11:03       -4.736403        0.1975
GPMin:    3 17:11:09       -4.781998        0.0685
GPMin:    4 17:11:14       -4.787244        0.0604
GPMin:    5 17:11:19       -4.793044        0.0319
GPMin:    6 17:11:24       -4.794868        0.0292
GPMin:    7 17:11:29       -4.797901        0.0315
GPMin:    8 17:11:34       -4.801178        0.0293
GPMin:    9 17:11:39       -4.804615        0.0328
GPMin:   10 17:11:43       -4.807826        0.0234
GPMin:   11 17:11:48       -4.811005        0.0299
GPMin:   12 17:11:54       -4.816606        0.0343
GPMin:   13 17:11:59       -4.824216        0.0442
GPMin:   14 17:12:05       -4.834766        0.0510
GPMin:   15 17:12:11       -4.851149        0.0567
GPMin:   16 17:12:17       -4.864386        0.0444
GPMin:   17 17:12:22       -4.872217        0.0518
GPMin:   18 17:12:27       -4.875235        0.0521
GPMin:   19 17:12:32       -4.880102        0.0419
GPMin:   20 17:12:36       -4.884479        0.0352
GPMin:   21 17:12:41       -4.888056        0.0206
GPMin:   22 17:12:45       -4.889382        0.0163
       Step     Time          Energy         fmax
GPMin:    0 17:12:55       -3.166161        1.3516
GPMin:    1 17:13:01       -4.009693        0.6052
GPMin:    2 17:13:07       -4.288263        0.2587
GPMin:    3 17:13:13       -4.355016        0.0963
GPMin:    4 17:13:18       -4.364468        0.1249
GPMin:    5 17:13:23       -4.377317        0.1084
GPMin:    6 17:13:29       -4.392488        0.1232
GPMin:    7 17:13:35       -4.421823        0.0805
GPMin:    8 17:13:40       -4.425252        0.0729
GPMin:    9 17:13:54       -4.438280        0.0502
GPMin:   10 17:14:28       -4.445794        0.1161
GPMin:   11 17:14:48       -4.448577        0.0937
GPMin:   12 17:15:53       -4.460676        0.1145
GPMin:   13 17:16:06       -4.492134        0.3026
GPMin:   14 17:16:12       -4.507755        0.2281
GPMin:   15 17:16:18       -4.573060        0.2561
GPMin:   16 17:16:24       -4.620093        0.2461
GPMin:   17 17:16:30       -4.673357        0.2219
GPMin:   18 17:16:37       -4.723370        0.1808
GPMin:   19 17:16:42       -4.761027        0.1494
GPMin:   20 17:16:48       -4.786881        0.1325
GPMin:   21 17:16:54       -4.804655        0.1133
GPMin:   22 17:16:59       -4.824107        0.0940
GPMin:   23 17:17:04       -4.839745        0.0828
GPMin:   24 17:17:09       -4.852965        0.0724
GPMin:   25 17:17:15       -4.864282        0.0587
GPMin:   26 17:17:20       -4.874360        0.0491
GPMin:   27 17:17:25       -4.880997        0.0382
GPMin:   28 17:17:30       -4.884626        0.0265
GPMin:   29 17:17:35       -4.888687        0.0199
       Step     Time          Energy         fmax
GPMin:    0 17:17:44       -4.035682        0.9039
GPMin:    1 17:17:49       -4.584997        0.4114
GPMin:    2 17:17:54       -4.779952        0.1983
GPMin:    3 17:18:00       -4.832599        0.0777
GPMin:    4 17:18:05       -4.841035        0.0960
GPMin:    5 17:18:10       -4.857214        0.0850
GPMin:    6 17:18:15       -4.873868        0.0735
GPMin:    7 17:18:20       -4.892876        0.0749
GPMin:    8 17:18:25       -4.906129        0.0681
GPMin:    9 17:18:29       -4.920167        0.0411
GPMin:   10 17:18:34       -4.926919        0.0257
GPMin:   11 17:18:38       -4.930032        0.0280
GPMin:   12 17:18:41       -4.932090        0.0253
GPMin:   13 17:18:45       -4.933015        0.0142
       Step     Time          Energy         fmax
GPMin:    0 17:18:54       -3.164458        1.3497
GPMin:    1 17:19:00       -4.005498        0.6008
GPMin:    2 17:19:07       -4.282780        0.2569
GPMin:    3 17:19:12       -4.347944        0.0969
GPMin:    4 17:19:17       -4.356883        0.1263
GPMin:    5 17:19:23       -4.371900        0.1004
GPMin:    6 17:19:28       -4.386301        0.1155
GPMin:    7 17:19:35       -4.419939        0.2637
GPMin:    8 17:19:40       -4.441600        0.0965
GPMin:    9 17:20:00       -4.443900        0.0502
GPMin:   10 17:20:27       -4.446995        0.0629
GPMin:   11 17:21:00       -4.447467        0.0616
GPMin:   12 17:21:27       -4.464545        0.1267
GPMin:   13 17:21:39       -4.470108        0.1165
GPMin:   14 17:21:46       -4.550266        0.2137
GPMin:   15 17:21:51       -4.585338        0.2271
GPMin:   16 17:21:57       -4.624286        0.2182
GPMin:   17 17:22:03       -4.657515        0.2005
GPMin:   18 17:22:08       -4.696048        0.1711
GPMin:   19 17:22:14       -4.726351        0.1502
GPMin:   20 17:22:20       -4.768272        0.1303
GPMin:   21 17:22:25       -4.785766        0.1195
GPMin:   22 17:22:31       -4.823863        0.0888
GPMin:   23 17:22:37       -4.840995        0.1069
GPMin:   24 17:22:42       -4.857462        0.1032
GPMin:   25 17:22:47       -4.870967        0.0779
GPMin:   26 17:22:52       -4.879589        0.0450
GPMin:   27 17:22:57       -4.883073        0.0338
GPMin:   28 17:23:02       -4.885337        0.0337
GPMin:   29 17:23:07       -4.886555        0.0338
GPMin:   30 17:23:12       -4.888158        0.0416
GPMin:   31 17:23:16       -4.889125        0.0217
GPMin:   32 17:23:20       -4.889664        0.0135
       Step     Time          Energy         fmax
GPMin:    0 17:23:30       -3.160563        1.3573
GPMin:    1 17:23:36       -4.007220        0.6082
GPMin:    2 17:23:42       -4.287921        0.2578
GPMin:    3 17:23:48       -4.355093        0.0954
GPMin:    4 17:23:53       -4.364611        0.1238
GPMin:    5 17:23:58       -4.377120        0.1097
GPMin:    6 17:24:03       -4.392812        0.1303
GPMin:    7 17:24:09       -4.418129        0.0877
GPMin:    8 17:24:14       -4.424256        0.0738
GPMin:    9 17:24:26       -4.430644        0.1726
GPMin:   10 17:24:48       -4.432180        0.0833
GPMin:   11 17:24:54       -4.439020        0.0866
GPMin:   12 17:25:35       -4.471155        0.1549
GPMin:   13 17:25:42       -4.536938        0.2452
GPMin:   14 17:25:48       -4.599780        0.2566
GPMin:   15 17:25:54       -4.649121        0.2105
GPMin:   16 17:26:01       -4.687662        0.1731
GPMin:   17 17:26:07       -4.731572        0.1675
GPMin:   18 17:26:13       -4.765184        0.1618
GPMin:   19 17:26:19       -4.794110        0.1398
GPMin:   20 17:26:24       -4.821119        0.1004
GPMin:   21 17:26:30       -4.840326        0.0824
GPMin:   22 17:26:35       -4.854183        0.0726
GPMin:   23 17:26:40       -4.866379        0.0666
GPMin:   24 17:26:45       -4.873912        0.0547
GPMin:   25 17:26:50       -4.880704        0.0355
GPMin:   26 17:26:55       -4.883573        0.0365
GPMin:   27 17:27:00       -4.889393        0.0184
       Step     Time          Energy         fmax
GPMin:    0 17:27:10       -3.174137        1.3527
GPMin:    1 17:27:16       -4.015407        0.6051
GPMin:    2 17:27:22       -4.293056        0.2543
GPMin:    3 17:27:29       -4.359085        0.0977
GPMin:    4 17:27:34       -4.368556        0.1248
GPMin:    5 17:27:39       -4.381128        0.1105
GPMin:    6 17:27:59       -4.408451        0.1024
GPMin:    7 17:28:12       -4.415784        0.0563
GPMin:    8 17:28:19       -4.417644        0.1635
GPMin:    9 17:28:24       -4.429743        0.1061
GPMin:   10 17:28:30       -4.438056        0.0803
GPMin:   11 17:28:35       -4.443881        0.0710
GPMin:   12 17:28:40       -4.447849        0.0548
GPMin:   13 17:28:53       -4.451165        0.1187
GPMin:   14 17:29:13       -4.461875        0.0837
GPMin:   15 17:29:19       -4.463514        0.0544
GPMin:   16 17:29:22       -4.464164        0.0443
GPMin:   17 17:29:35       -4.469960        0.0686
GPMin:   18 17:29:40       -4.472711        0.0647
GPMin:   19 17:29:47       -4.570952        0.2262
GPMin:   20 17:29:53       -4.620149        0.2042
GPMin:   21 17:29:59       -4.651308        0.1834
GPMin:   22 17:30:05       -4.684828        0.1675
GPMin:   23 17:30:11       -4.704399        0.1581
GPMin:   24 17:30:17       -4.763733        0.1241
GPMin:   25 17:30:23       -4.799647        0.1197
GPMin:   26 17:30:28       -4.822145        0.0994
GPMin:   27 17:30:33       -4.838408        0.0793
GPMin:   28 17:30:38       -4.854041        0.0787
GPMin:   29 17:30:43       -4.865734        0.0785
GPMin:   30 17:30:49       -4.876105        0.0595
GPMin:   31 17:30:54       -4.881163        0.0346
GPMin:   32 17:30:59       -4.883814        0.0311
GPMin:   33 17:31:04       -4.886555        0.0356
GPMin:   34 17:31:07       -4.887338        0.0297
GPMin:   35 17:31:13       -4.888521        0.0399
GPMin:   36 17:31:16       -4.889234        0.0247
GPMin:   37 17:31:20       -4.889621        0.0150
       Step     Time          Energy         fmax
GPMin:    0 17:31:29       -3.168386        1.3446
GPMin:    1 17:31:35       -4.009370        0.5986
GPMin:    2 17:31:42       -4.287002        0.2562
GPMin:    3 17:31:47       -4.352848        0.0966
GPMin:    4 17:31:52       -4.361920        0.1246
GPMin:    5 17:31:57       -4.376035        0.1035
GPMin:    6 17:32:18       -4.395746        0.1129
GPMin:    7 17:32:24       -4.418493        0.0756
GPMin:    8 17:32:28       -4.423027        0.0658
GPMin:    9 17:32:41       -4.447351        0.0771
GPMin:   10 17:32:46       -4.452322        0.0515
GPMin:   11 17:32:51       -4.453772        0.0400
