Lattice parameter for Pt (Å), Potential energy for Pt (eV)
3.5, -3.8274097284127064
3.6, -5.006306019567042
3.7, -5.761607498536974
3.8, -6.198551494489784
3.9, -6.399394802219326
4.0, -6.427716292101918
4.1, -6.332417502138969
4.2, -6.151351268298954
4.3, -5.913172871034853
4.4, -5.6390616701441605
4.5, -5.345149725992487
