Lattice parameter a (Å), Potential energy for {element} (eV)
3.5, 23.72117284525099
3.6, 20.31535662183533
3.7, 18.263565622340792
3.8, 17.64783220695933
3.9, 18.928359850410818
4.0, 18.25754308515414
4.1, 18.3070477426025
4.2, 19.026271200518057
4.3, 19.046284989702972
4.4, 18.48707522346958
