Lattice parameter for Au (Å), Potential energy for Au (eV)
3.5, 1.3172942722813283
3.6, -0.3227921643130772
3.7, -1.4609153779263602
3.8, -2.224600937454859
3.9, -2.7096171569530094
4.0, -2.9892752684189707
4.1, -3.1200033154838773
4.2, -3.143870826946738
4.3, -3.092139798138358
4.4, -2.9896726512501175
4.5, -2.854968383481903
