      Step     Time          Energy         fmax
BFGS:  127 15:46:41       -7.112418        0.2912
BFGS:  128 15:46:41       -7.115606        0.2790
BFGS:  129 15:46:41       -7.120198        0.2573
BFGS:  130 15:46:41       -7.125720        0.1877
BFGS:  131 15:46:41       -7.129700        0.0832
BFGS:  132 15:46:41       -7.131011        0.0353
      Step     Time          Energy         fmax
BFGS:    0 15:46:41       19.669666       40.6834
BFGS:    1 15:46:41        0.234380       12.6724
BFGS:    2 15:46:41       -3.092264        5.8875
BFGS:    3 15:46:41       -4.516944        3.0045
BFGS:    4 15:46:41       -5.154010        1.2078
BFGS:    5 15:46:41       -5.337885        0.7064
BFGS:    6 15:46:41       -5.388032        0.6438
BFGS:    7 15:46:41       -5.413702        0.6056
BFGS:    8 15:46:41       -5.456076        0.6678
BFGS:    9 15:46:41       -5.536435        0.8255
BFGS:   10 15:46:41       -5.639788        1.6445
BFGS:   11 15:46:41       -5.771179        1.1949
BFGS:   12 15:46:41       -5.874064        0.8809
BFGS:   13 15:46:41       -5.897130        0.7106
BFGS:   14 15:46:41       -5.920877        0.4877
BFGS:   15 15:46:41       -5.939510        0.4627
BFGS:   16 15:46:41       -5.984483        0.4445
BFGS:   17 15:46:41       -6.006148        0.4684
BFGS:   18 15:46:41       -6.057465        0.6678
BFGS:   19 15:46:41       -6.126271        1.1227
BFGS:   20 15:46:41       -6.192937        1.2868
BFGS:   21 15:46:41       -6.371798        0.6711
BFGS:   22 15:46:41       -6.459160        1.1129
BFGS:   23 15:46:41       -6.496020        0.8469
BFGS:   24 15:46:41       -6.583636        0.4999
BFGS:   25 15:46:41       -6.619550        0.4084
BFGS:   26 15:46:41       -6.630177        0.3007
BFGS:   27 15:46:41       -6.637719        0.3211
BFGS:   28 15:46:41       -6.646792        0.4130
BFGS:   29 15:46:41       -6.657782        0.2715
BFGS:   30 15:46:41       -6.663677        0.2287
BFGS:   31 15:46:41       -6.666964        0.1782
BFGS:   32 15:46:41       -6.669050        0.1452
BFGS:   33 15:46:41       -6.672241        0.1494
BFGS:   34 15:46:41       -6.676078        0.1429
BFGS:   35 15:46:41       -6.679946        0.2083
BFGS:   36 15:46:41       -6.683407        0.2442
BFGS:   37 15:46:41       -6.688094        0.2450
BFGS:   38 15:46:41       -6.694482        0.2094
BFGS:   39 15:46:41       -6.700888        0.2034
BFGS:   40 15:46:41       -6.706218        0.2368
BFGS:   41 15:46:41       -6.710902        0.2619
BFGS:   42 15:46:41       -6.715697        0.2553
BFGS:   43 15:46:41       -6.722198        0.2863
BFGS:   44 15:46:41       -6.728592        0.2132
BFGS:   45 15:46:41       -6.732485        0.1443
BFGS:   46 15:46:41       -6.734663        0.1643
BFGS:   47 15:46:41       -6.737114        0.1557
BFGS:   48 15:46:41       -6.741819        0.1519
BFGS:   49 15:46:41       -6.749694        0.1944
BFGS:   50 15:46:41       -6.758142        0.2391
BFGS:   51 15:46:41       -6.772681        0.4819
BFGS:   52 15:46:41       -6.796400        0.7314
BFGS:   53 15:46:41       -6.808523        0.8506
BFGS:   54 15:46:41       -6.845548        0.4351
BFGS:   55 15:46:41       -6.899057        0.5401
BFGS:   56 15:46:41       -6.966624        0.6919
BFGS:   57 15:46:41       -6.999336        0.5605
BFGS:   58 15:46:41       -7.026050        0.6492
BFGS:   59 15:46:41       -7.054669        0.6309
BFGS:   60 15:46:41       -7.081649        0.4663
