       Step     Time          Energy         fmax
GPMin:    0 16:54:47       -4.935792        1.4795
GPMin:    1 16:54:55       -6.035037        0.7863
GPMin:    2 16:55:02       -6.515272        0.4199
GPMin:    3 16:55:10       -6.733462        0.2334
GPMin:    4 16:55:17       -6.812959        0.1456
GPMin:    5 16:55:24       -6.830742        0.0975
GPMin:    6 16:55:31       -6.836081        0.0809
GPMin:    7 16:55:37       -6.854211        0.0859
GPMin:    8 16:55:43       -6.871751        0.0952
GPMin:    9 16:55:49       -6.888817        0.1116
GPMin:   10 16:55:56       -6.908356        0.1227
GPMin:   11 16:56:03       -6.934027        0.1247
GPMin:   12 16:56:09       -6.964215        0.1184
GPMin:   13 16:56:16       -6.999166        0.1025
GPMin:   14 16:56:23       -7.036484        0.1217
GPMin:   15 16:56:29       -7.079272        0.1351
GPMin:   16 16:56:36       -7.123024        0.1342
GPMin:   17 16:56:43       -7.167433        0.1142
GPMin:   18 16:56:50       -7.197619        0.0711
GPMin:   19 16:56:56       -7.211623        0.0570
GPMin:   20 16:57:02       -7.215167        0.0490
GPMin:   21 16:57:08       -7.217039        0.0388
GPMin:   22 16:57:14       -7.219310        0.0221
GPMin:   23 16:57:19       -7.219826        0.0248
GPMin:   24 16:57:25       -7.220868        0.0317
GPMin:   25 16:57:31       -7.223575        0.0320
GPMin:   26 16:57:37       -7.225896        0.0393
GPMin:   27 16:57:43       -7.228996        0.0397
GPMin:   28 16:57:49       -7.234215        0.0209
GPMin:   29 16:57:54       -7.235774        0.0220
GPMin:   30 16:58:00       -7.237791        0.0230
GPMin:   31 16:58:06       -7.238919        0.0173
       Step     Time          Energy         fmax
GPMin:    0 16:58:18       -5.385103        1.3595
GPMin:    1 16:58:24       -6.502345        0.7518
GPMin:    2 16:58:31       -6.992844        0.4102
GPMin:    3 16:58:37       -7.208721        0.1886
GPMin:    4 16:58:43       -7.273033        0.0533
GPMin:    5 16:58:49       -7.278042        0.0256
GPMin:    6 16:58:52       -7.278336        0.0252
GPMin:    7 16:58:58       -7.280342        0.0104
       Step     Time          Energy         fmax
GPMin:    0 16:59:09       -5.391864        1.3575
GPMin:    1 16:59:16       -6.506484        0.7503
GPMin:    2 16:59:23       -6.995053        0.4102
GPMin:    3 16:59:29       -7.210396        0.1879
GPMin:    4 16:59:35       -7.273783        0.0548
GPMin:    5 16:59:41       -7.278524        0.0251
GPMin:    6 16:59:45       -7.278825        0.0249
GPMin:    7 16:59:51       -7.280757        0.0108
       Step     Time          Energy         fmax
GPMin:    0 17:00:03       -5.116981        1.6617
GPMin:    1 17:00:11       -6.276935        0.8860
GPMin:    2 17:00:18       -6.789018        0.4904
GPMin:    3 17:00:26       -7.023488        0.2684
GPMin:    4 17:00:33       -7.106426        0.1360
GPMin:    5 17:00:40       -7.121665        0.0722
GPMin:    6 17:00:46       -7.124339        0.0543
GPMin:    7 17:00:53       -7.133032        0.0404
GPMin:    8 17:00:59       -7.136703        0.0374
GPMin:    9 17:01:04       -7.138306        0.0377
GPMin:   10 17:01:11       -7.140309        0.0222
GPMin:   11 17:01:15       -7.140718        0.0195
       Step     Time          Energy         fmax
GPMin:    0 17:01:27       -5.129735        1.6469
GPMin:    1 17:01:35       -6.284504        0.8769
GPMin:    2 17:01:42       -6.793907        0.4872
GPMin:    3 17:01:50       -7.026799        0.2664
GPMin:    4 17:01:57       -7.107792        0.1341
GPMin:    5 17:02:04       -7.122380        0.0709
GPMin:    6 17:02:10       -7.124864        0.0545
GPMin:    7 17:02:17       -7.133373        0.0398
GPMin:    8 17:02:23       -7.136884        0.0377
GPMin:    9 17:02:28       -7.138435        0.0377
GPMin:   10 17:02:34       -7.140450        0.0208
GPMin:   11 17:02:38       -7.140864        0.0185
       Step     Time          Energy         fmax
GPMin:    0 17:02:50       -5.125426        1.6527
GPMin:    1 17:02:58       -6.282156        0.8819
GPMin:    2 17:03:06       -6.792485        0.4873
GPMin:    3 17:03:13       -7.026471        0.2666
GPMin:    4 17:03:21       -7.108266        0.1329
GPMin:    5 17:03:27       -7.122896        0.0682
GPMin:    6 17:03:33       -7.125381        0.0529
GPMin:    7 17:03:40       -7.133863        0.0394
GPMin:    8 17:03:46       -7.137274        0.0382
GPMin:    9 17:03:51       -7.138850        0.0378
