Radial coordinate (angstrom), Histogram of radial distances for (counts), Scaled histogram (counts)
1.5261244290860043, 0, 0.0
1.5783732872580132, 0, 0.0
1.630622145430022, 0, 0.0
1.682871003602031, 0, 0.0
1.7351198617740398, 0, 0.0
1.7873687199460486, 0, 0.0
1.8396175781180575, 0, 0.0
1.8918664362900661, 0, 0.0
1.944115294462075, 0, 0.0
1.9963641526340838, 28, 0.026692878212730052
2.0486130108060925, 141, 0.12764863025758857
2.1008618689781016, 515, 0.4433320522768988
2.15311072715011, 1592, 1.3047497837075837
2.2053595853221193, 3627, 2.8333852708534097
2.257608443494128, 4744, 3.536424075211615
2.3098573016661366, 6133, 4.367365734849812
2.3621061598381456, 6342, 4.31861324984266
2.4143550180101547, 6878, 4.483083301577085
2.4666038761821634, 5369, 3.352829617162234
2.518852734354172, 4032, 2.414525902779011
2.5711015925261806, 2924, 1.6805668517202756
2.6233504506981897, 2226, 1.2289364815684274
2.675599308870199, 1997, 1.0598705239734374
2.7278481670422075, 1567, 0.800102281138655
2.780097025214216, 1177, 0.5785933745825796
2.832345883386225, 977, 0.46272065649797145
2.884594741558234, 747, 0.3410891355212262
2.936843599730243, 685, 0.30174899549043116
2.9890924579022515, 480, 0.20411712347146813
3.04134131607426, 452, 0.1856628491232324
3.0935901742462693, 389, 0.1544332963473072
3.1458390324182783, 442, 0.16969387830336502
3.198087890590287, 709, 0.26337972796850206
3.2503367487622956, 831, 0.29885546857827117
3.3025856069343043, 771, 0.2685734696858592
3.3548344651063133, 917, 0.30955943347571446
3.4070833232783224, 965, 0.3158484160753306
3.459332181450331, 1171, 0.37178277143055605
3.5115810396223397, 1343, 0.41379717489564244
3.5638298977943488, 1678, 0.501966717058556
3.6160787559663574, 2523, 0.7330918458124914
3.6683276141383665, 2806, 0.7922611062812622
3.720576472310375, 2822, 0.7745570979272579
3.7728253304823838, 3441, 0.9184767635842023
3.825074188654393, 3671, 0.9532823634511222
3.8773230468264015, 4127, 1.043007413070563
3.9295719049984106, 4889, 1.2029468979878617
3.981820763170419, 5690, 1.3635333107661682
4.034069621342428, 5730, 1.3377801363943977
4.086318479514437, 6114, 1.391162654398641
4.138567337686446, 6561, 1.4554151302401066
4.190816195858455, 6649, 1.43838784759192
4.243065054030463, 6502, 1.372159143596135
4.295313912202472, 7483, 1.5410006696023308
4.347562770374481, 7772, 1.5622767487740548
4.399811628546489, 7254, 1.4237255677999887
4.452060486718499, 7906, 1.515484843302024
