Radial coordinate (angstrom), Histogram of radial distances (counts), Scaled histogram for 0ps to 1 ps (counts)
1.5261244290860043, 0, 0.0
1.5783732872580132, 0, 0.0
1.630622145430022, 0, 0.0
1.682871003602031, 0, 0.0
1.7351198617740398, 0, 0.0
1.7873687199460486, 0, 0.0
1.8396175781180575, 0, 0.0
1.8918664362900661, 3, 0.01910770201094637
1.944115294462075, 7, 0.04222038177795868
1.9963641526340838, 5, 0.028599512370782197
2.0486130108060925, 41, 0.22270612087494174
2.1008618689781016, 212, 1.0949871271771172
2.15311072715011, 241, 1.1850930824379184
2.2053595853221193, 316, 1.481141018345207
2.257608443494128, 586, 2.6210090742925876
2.3098573016661366, 769, 3.2856718572634978
2.3621061598381456, 779, 3.182781193592651
2.4143550180101547, 803, 3.1403744325382954
2.4666038761821634, 699, 2.619066383754593
2.518852734354172, 748, 2.687597284640922
2.5711015925261806, 501, 1.727696291474401
2.6233504506981897, 366, 1.2123739952939203
2.675599308870199, 351, 1.1177202421071901
2.7278481670422075, 281, 0.8608630797701162
2.780097025214216, 504, 1.4865474636684117
2.832345883386225, 427, 1.213398487152306
2.884594741558234, 265, 0.7260130193825296
2.936843599730243, 170, 0.44931967211713847
2.9890924579022515, 167, 0.42609449524668974
3.04134131607426, 275, 0.6777515510029501
3.0935901742462693, 315, 0.7503314398365312
3.1458390324182783, 206, 0.47452858276687604
3.198087890590287, 227, 0.5059565437138219
3.2503367487622956, 328, 0.7077587992322955
3.3025856069343043, 197, 0.41174298465458575
3.3548344651063133, 251, 0.5083931372022094
3.4070833232783224, 254, 0.4988113845583459
3.459332181450331, 358, 0.6819721545967843
3.5115810396223397, 344, 0.6359474080302353
3.5638298977943488, 268, 0.48102650836123845
3.6160787559663574, 727, 1.267438220940978
3.6683276141383665, 538, 0.9114108521296916
3.720576472310375, 473, 0.7789486335639823
3.7728253304823838, 517, 0.8279903867010159
3.825074188654393, 520, 0.8101991212115233
3.8773230468264015, 545, 0.8264197336420502
3.9295719049984106, 505, 0.7455367357134834
3.981820763170419, 437, 0.628327652166765
4.034069621342428, 559, 0.7830566452821659
4.086318479514437, 480, 0.6553072366156504
4.138567337686446, 765, 1.0181916549004861
4.190816195858455, 921, 1.1954476230700781
4.243065054030463, 949, 1.2016416738905555
4.295313912202472, 994, 1.228187624416451
4.347562770374481, 979, 1.1807531680775603
4.399811628546489, 1023, 1.2046908650615287
4.452060486718499, 947, 1.089170867650152
