Radial distance r (atomic units), theoretical Hartree potential (atomic units), calculated Hartree potential (atomic units)
0.0, nan, inf
0.01001001001001001, 0.9999338644721689, 1.8983348708453016
0.02002002002002002, 0.9997380848753608, 1.4485547246634822
0.03003003003003003, 0.999416531302046, 1.2983712958407654
0.04004004004004004, 0.9989729816497821, 1.2229965031641
0.050050050050050046, 0.9984111236533657, 1.1774756623472873
0.06006006006006006, 0.9977345568739135, 1.1468262487828076
0.07007007007007007, 0.9969467946455897, 1.1246291510260311
0.08008008008008008, 0.9960512659809737, 1.1076764855848615
0.09009009009009009, 0.9950513174358573, 1.0941875364125795
0.10010010010010009, 0.9939502149343706, 1.0830951317841182
0.11011011011011011, 0.9927511455552178, 1.0737212711055146
0.12012012012012012, 0.9914572192798685, 1.0656149391736573
0.13013013013013014, 0.9900714707034872, 1.058464776162625
0.14014014014014015, 0.9885968607093636, 1.052049175455469
0.15015015015015015, 0.9870362781076256, 1.046206342977301
0.16016016016016016, 0.9853925412389728, 1.0408155848579763
0.17017017017017017, 0.9836683995441575, 1.035785199980874
0.18018018018018017, 0.9818665350999316, 1.0310444088383497
0.19019019019019018, 0.9799895641221639, 1.0265378316218552
0.20020020020020018, 0.9780400384368013, 1.0222216233037906
0.21021021021021022, 0.9760204469193634, 1.018060713370459
0.22022022022022023, 0.9739332169036126, 1.0140267987168807
0.23023023023023023, 0.971780715560056, 1.0100968604715532
0.24024024024024024, 0.9695652512448985, 1.0062520519300844
0.2502502502502503, 0.9672890748200835, 1.0024768536795685
0.2602602602602603, 0.9649543809450019, 0.9987584239705497
0.2702702702702703, 0.9625633093404851, 0.9950860937100767
0.2802802802802803, 0.9601179460256515, 0.9914509699142351
0.2902902902902903, 0.9576203245281762, 0.987845621434289
0.3003003003003003, 0.9550724270685396, 0.9842638277536225
0.3103103103103103, 0.9524761857188078, 0.9807003766083517
0.3203203203203203, 0.9498334835364699, 0.9771508997463921
0.3303303303303303, 0.9471461556738623, 0.9736117387302441
0.34034034034034033, 0.9444159904636855, 0.9700798345935048
0.35035035035035034, 0.9416447304811237, 0.9665526365760863
0.36036036036036034, 0.9388340735830514, 0.9630280262243329
0.37037037037037035, 0.9359856739248116, 0.9595042539453081
0.38038038038038036, 0.9331011429550362, 0.9559798857174073
0.39039039039039036, 0.9301820503889708, 0.9524537581308821
0.40040040040040037, 0.9272299251607545, 0.948924940297234
0.41041041041041043, 0.9242462563551002, 0.9453927014515945
0.42042042042042044, 0.9212324941188028, 0.9418564832962582
0.43043043043043044, 0.9181900505525091, 0.938315876310697
0.44044044044044045, 0.9151203005831574, 0.934770599394298
0.45045045045045046, 0.9120245828174947, 0.9312204823208013
0.46046046046046046, 0.9089042003770764, 0.9276654505740944
0.47047047047047047, 0.90576042171513, 0.9241055122083168
0.4804804804804805, 0.9025944814156743, 0.9205407464348104
0.4904904904904905, 0.8994075809752595, 0.9169712936870562
0.5005005005005005, 0.8962008895677012, 0.9133973469546143
0.5105105105105106, 0.8929755447921672, 0.9098191442099192
0.5205205205205206, 0.8897326534049639, 0.9062369617789184
0.5305305305305306, 0.8864732920353701, 0.9026511085290961
0.5405405405405406, 0.8831985078858574, 0.8990619207671866
0.5505505505505506, 0.8799093194170213, 0.8954697577546
0.5605605605605606, 0.8766067170175535, 0.8918749977617589
0.5705705705705706, 0.8732916636595639, 0.8882780345936407
0.5805805805805806, 0.8699650955395714, 0.8846792745282006
0.5905905905905906, 0.8666279227054589, 0.881079133617292
0.6006006006006006, 0.8632810296696947, 0.8774780353064516
0.6106106106106106, 0.8599252760091107, 0.8738764083356747
0.6206206206206206, 0.8565614969515198, 0.8702746848882237
0.6306306306306306, 0.8531905039494547, 0.8666732989587242
0.6406406406406406, 0.8498130852413005, 0.8630726849154343
0.6506506506506506, 0.8464300064000863, 0.859473276234681
0.6606606606606606, 0.8430420108702035, 0.8558755043881593
0.6706706706706707, 0.8396498204922997, 0.8522797978661188
0.6806806806806807, 0.8362541360166076, 0.8486865813214819
0.6906906906906907, 0.8328556376049464, 0.8450962748216995
0.7007007007007007, 0.8294549853216457, 0.8415092931966777
0.7107107107107107, 0.8260528196136191, 0.8379260454724474
0.7207207207207207, 0.8226497617798247, 0.8343469343814179
0.7307307307307307, 0.8192464144303369, 0.8307723559410777
0.7407407407407407, 0.8158433619352464, 0.8272026990939073
0.7507507507507507, 0.8124411708636148, 0.8236383454020592
0.7607607607607607, 0.8090403904126857, 0.8200796687910556
0.7707707707707707, 0.8056415528275676, 0.8165270353373699
0.7807807807807807, 0.8022451738115879, 0.8129808030953031
0.7907907907907907, 0.7988517529275192, 0.8094413219590453
0.8008008008008007, 0.7954617739898728, 0.8059089335562405
0.8108108108108109, 0.7920757054484495, 0.8023839711697494
0.8208208208208209, 0.7886940007633347, 0.7988667596846479
0.8308308308308309, 0.785317098771523, 0.7953576155577881
0.8408408408408409, 0.781945424045349, 0.7918568468075313
0.8508508508508509, 0.7785793872429005, 0.7883647530214855
0.8608608608608609, 0.7752193854505878, 0.7848816253803048
0.8708708708708709, 0.771865802518034, 0.7814077466957959
0.8808808808808809, 0.7685190093854539, 0.777943391461744
0.8908908908908909, 0.7651793644036811, 0.7744888259160334
0.9009009009009009, 0.7618472136470034, 0.7710443081127658
0.9109109109109109, 0.7585228912189568, 0.7676100880032107
0.9209209209209209, 0.7552067195512342, 0.7641864075245328
0.9309309309309309, 0.7518990096958547, 0.7607735006953369
0.9409409409409409, 0.7486000616107378, 0.7573715937171704
0.950950950950951, 0.7453101644388263, 0.7539809050811984
